raw,canonical,slot,lang,priority,rule_type,review_status,ambiguity,tags,source,note,review_batch,review_risk,review_action,review_reason,decision_recommendation,decision_reason,conflict_group
重击声,Hit,action,zh,0,alias,review,high,impact/hit,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;conservative impact alias,batch_caution,high,pending,ambiguous_with_impact_knock_punch,needs_review,caution_batch_default;ambiguous_with_impact_knock_punch,
击打声,Hit,action,zh,0,alias,review,high,impact/hit,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;common sound-design search term,batch_caution,high,pending,ambiguous_with_impact_knock_punch,needs_review,caution_batch_default;ambiguous_with_impact_knock_punch,
碰击声,Hit,action,zh,0,alias,review,high,impact/hit,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;physical hit sound,batch_caution,high,pending,ambiguous_with_impact_knock_punch,needs_review,caution_batch_default;ambiguous_with_impact_knock_punch;raw_multi_canonical_conflict,raw_conflict_001
拳击声,Hit,action,zh,0,alias,review,high,impact/hit,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;fight impact context,batch_caution,high,pending,ambiguous_with_impact_knock_punch,needs_review,caution_batch_default;ambiguous_with_impact_knock_punch;fight_specific,
吱吱声,Squeak,action,zh,0,alias,review,high,friction/squeak,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;repeated squeak sound,batch_caution,high,pending,category_pollution_possible,needs_review,caution_batch_default;category_pollution_possible,
尖锐吱响,Squeak,action,zh,0,alias,review,high,friction/squeak,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;sharp squeak,batch_caution,high,pending,category_pollution_possible,needs_review,caution_batch_default;category_pollution_possible,
挤压吱响,Squeak,action,zh,0,alias,review,high,friction/squeak,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;squeezed object squeak,batch_caution,high,pending,category_pollution_possible,needs_review,caution_batch_default;category_pollution_possible,
金属吱响,Squeak,action,zh,0,alias,review,high,friction/squeak,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;metal squeak,batch_caution,high,pending,category_pollution_possible,needs_review,caution_batch_default;category_pollution_possible,
脆裂声,Crack,action,zh,0,alias,review,high,break/crack,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;sharp crack sound,batch_caution,high,pending,broad_material_spread,needs_review,caution_batch_default;broad_material_spread,
爆裂脆响,Crack,action,zh,0,alias,review,high,break/crack,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;brief explosive crack,batch_caution,high,pending,broad_material_spread,needs_review,caution_batch_default;broad_material_spread,
劈裂声,Crack,action,zh,0,alias,review,high,break/crack,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;splitting crack,batch_caution,high,pending,broad_material_spread,needs_review,caution_batch_default;broad_material_spread,
断裂脆响,Crack,action,zh,0,alias,review,high,break/crack,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;fracture transient,batch_caution,high,pending,broad_material_spread,needs_review,caution_batch_default;broad_material_spread,
单发,Single Shot,action,zh,0,alias,review,high,weapon/phrase,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;atomic weapon phrase,batch_weapon,high,pending,phrase_weapon_high_risk,needs_review,weapon_batch_default;phrase_weapon_high_risk,
单发射击,Single Shot,action,zh,0,alias,review,high,weapon/phrase,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;atomic weapon phrase,batch_weapon,high,pending,phrase_weapon_high_risk,needs_review,weapon_batch_default;phrase_weapon_high_risk,
单次开火,Single Shot,action,zh,0,alias,review,high,weapon/phrase,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;atomic weapon phrase,batch_weapon,high,pending,phrase_weapon_high_risk,needs_review,weapon_batch_default;phrase_weapon_high_risk,
单发枪声,Single Shot,action,zh,0,alias,review,high,weapon/phrase,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;atomic weapon phrase,batch_weapon,high,pending,phrase_weapon_high_risk,needs_review,weapon_batch_default;phrase_weapon_high_risk,
