id,组别,方向,测试词/短句,结果(最新后端),AI(NLLB)是否参与,NLLB token,unknown未译token,每token来源
BOOM-001,BOOM参考中文,中→英,吸尘器 气流 高音 哨声,Vacuum Air Movement High Whistle,否,,,override override override override
BOOM-002,BOOM参考中文,中→英,飞机 掠过 深沉 共振 滤波,Plane Flyby Deep Resonance Filter,否,,,override override override override override
BOOM-003,BOOM参考中文,中→英,乡村 牛棚 夜晚 比利时,Countryside Cow Barn Night Belgium,否,,,override override override override
BOOM-004,BOOM参考中文,中→英,海豹 呼吸 轻柔,Seal Breath Gentle,否,,,override override override
BOOM-005,BOOM参考中文,中→英,锣 弓击 明亮,Gong Bow Bright,否,,,override override override
BOOM-006,BOOM参考中文,中→英,乌鸦 叫声 强烈,Crow Caw Intense,否,,,override override override
BOOM-007,BOOM参考中文,中→英,金属 弹壳 滚落,Metal Shell Trickle Down,否,,,phrase override
BOOM-008,BOOM参考中文,中→英,橡胶 杯 手 拍击,Rubber Cup Handed Slap,否,,,override override override override
BOOM-009,BOOM参考中文,中→英,链条 铁板 清脆,Chain Metal Plate Crisp,否,,,override override override
BOOM-010,BOOM参考中文,中→英,背包 撞击,Backpacks Impact,否,,,override override
BOOM-011,BOOM参考中文,中→英,阿兹特克 死亡哨 气爆,Aztec Death Whistle Air Burst,否,,,override override override
BOOM-012,BOOM参考中文,中→英,人群 乞求 平静 远处,Crowd Beg Calm Distant,否,,,override override phrase
BOOM-013,BOOM参考中文,中→英,上升 飘动 冲击,Rise Flutter Punch,否,,,override override override
BOOM-014,BOOM参考中文,中→英,沙子 刮擦 碎屑,Sand Scrape Debris,否,,,override override override
BOOM-015,BOOM参考中文,中→英,微波炉 门 关闭 闷响,Microwave Door Close Thud,否,,,override override override override
BOOM-016,BOOM参考中文,中→英,火花 碎裂 长尾,Spark Crumble Long Tail,否,,,override override override
BOOM-017,BOOM参考中文,中→英,塑料 工具箱 关闭,Plastic Toolbox Close,否,,,phrase override
BOOM-018,BOOM参考中文,中→英,大炮 射击,Cannon Shots,否,,,override override
BOOM-019,BOOM参考中文,中→英,气球 放气 长,Balloon Deflate Long,否,,,override override override
BOOM-020,BOOM参考中文,中→英,基础 打击 复古,Basic Percussive Vintage,否,,,override override override
BOOM-021,BOOM参考中文,中→英,酒精 爆燃 铝罐,Alcohol Deflagration Aluminum Can,否,,,override override override
BOOM-022,BOOM参考中文,中→英,烟花 大爆炸,Firework Big Blast,否,,,override override
BOOM-023,BOOM参考中文,中→英,热铁 黄油 长,Hot Iron Butter Long,否,,,override override override
BOOM-024,BOOM参考中文,中→英,卡片 拖动 转动 桌面,Card Drag Turn On Table,否,,,override override override override
BOOM-025,BOOM参考中文,中→英,厚玻璃 棘轮,Thick Glass Ratchet,否,,,override override
