case_id,input_text,current_fxname,current_status,unknown_tokens,review_tokens,suggested_raw,suggested_canonical,suggested_slot,suggestion_type,decision,decision_reason,source,priority,next_action
001,木门滑开,Wood Door Slide Open,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
002,金属门撞击,Metal Door Impact,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
003,抽屉拉开又关上,Drawer Open Close,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
004,保险箱拨轮转动,Turn,partial,保险箱拨轮,,保险箱拨轮,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
004,保险箱拨轮转动,Turn,partial,保险箱拨轮,,转动,Turn,detail,slot_mismatch,pending,glossary_fallback_unknown_slot;expected_output_mismatch;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,adjust_rule
005,刮擦铁板,Metal Plate Scrape,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
006,摩擦皮革,Leather Friction,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
007,冰块刮擦冰砖,Ice Scrape Ice Brick,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
008,锯木,Saw Wood,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
009,塑料盒掉落,Plastic Box Drop,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
010,倒水入玻璃杯,Pour Water Glass,partial,入;杯,,倒水入玻璃杯,Pour Water Into Glass,phrase,phrase_missing,pending,multiple_unresolved_tokens;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,add_phrase_candidate
011,轮胎摩擦,Tire Friction,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
012,拖动,Drag,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
013,敲木门,Wood Door Knock,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
014,晃链条,Chain Rattle,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
015,剐蹭车漆,Scuff,partial,车漆,,车漆,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
016,来回蹭地毯,Carpet Rub,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
017,划金属表面,Scratch Metal,partial,表面,,表面,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
018,砸地,Impact,partial,地,,地,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
019,撞桌角,Impact,partial,桌角,,桌角,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
020,抖布料,Cloth,partial,抖,,抖,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
021,滚钢珠,Steel,partial,滚;珠,,滚钢珠,Steel Ball Roll,phrase,phrase_missing,pending,multiple_unresolved_tokens;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,add_phrase_candidate
022,转旋钮,Knob Turn,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
023,开抽屉,Drawer,partial,开,,开,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
024,关保险柜,Safe Close,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
025,打,,needs_review,,打,,,,no_action,pending,canonical_review_row_exists=打;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
026,击,,needs_review,,击,,,,no_action,pending,canonical_review_row_exists=击;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
