Keyword,Keyword(Trans),Description(Trans),Category,SubCategory
Air,空气,通用空气类音效，如风、嘶嘶声、气流声等。,AIR,
Wind,风,各种强度和类型的风声，如微风、大风、风吹过缝隙的声音。,AIR,Wind
Hiss,嘶嘶声,气体或蒸汽泄漏时发出的高频声音。,AIR,Hiss
Swish,嗖嗖声,物体快速通过空气或轻微摩擦发出的较轻声音。,AIR,Swish
Whoosh,呼啸声,比Swish更重、更低沉，物体快速通过空气发出的较响声音。,AIR,Whoosh
Puff,喷气声,短促的空气喷出声，如吹气、喷雾。,AIR,Puff
Alarm,警报,各种警报、警笛和蜂鸣器声。,ALARMS,
Siren,警笛,警察、救护车、消防车等使用的警报声。,ALARMS,Siren
Buzzer,蜂鸣器,游戏节目、门禁或提醒用的蜂鸣声。,ALARMS,Buzzer
Smoke Detector,烟雾探测器,烟雾探测器的警报声。,ALARMS,Smoke Detector
Clock,时钟,各种时钟的声音，如滴答声、闹钟声。,ALARMS,Clock
Ambiance,环境声,用于描绘特定场景背景声音的音效。,AMBIENCE,
City,城市,城市环境背景声，包含交通、人群、建筑工地等。,AMBIENCE,City
Nature,自然,自然环境背景声，如森林、海滩、田野。,AMBIENCE,Nature
Forest,森林,森林中的环境声，包含鸟、昆虫、风吹树叶等。,AMBIENCE,Forest
Ocean,海洋,海洋的环境声，包括海浪、海鸥叫声。,AMBIENCE,Water
River,河流,河流流动的声音，水流可急可缓。,AMBIENCE,Water
Waves,海浪/波浪,海浪拍打沙滩或岩石的声音。,AMBIENCE,Water
Underwater,水下,水下环境的背景声，通常沉闷且伴有气泡声。,AMBIENCE,Water
Factory,工厂,工厂环境声，充满机械运转、传送带和工具的声音。,AMBIENCE,Industrial
Warehouse,仓库,仓库的环境声，通常有回声、叉车、搬运的声音。,AMBIENCE,Industrial
Office,办公室,办公室环境声，包含键盘敲击、打印机、低语等。,AMBIENCE,Indoor
Kitchen,厨房,厨房环境声，包含烹饪、餐具、冰箱等声音。,AMBIENCE,Indoor
Hospital,医院,医院的环境声，包含医疗设备、推车、广播等。,AMBIENCE,Indoor
Library,图书馆,图书馆安静的环境声，包含翻书、低语、轻微移动声。,AMBIENCE,Indoor
Crowd,人群,各种人群的声音，如交谈、欢呼、骚动。,AMBIENCE,Crowds
Room Tone,房间底噪,一个安静房间里特有的“寂静”声，包含空调、电流等细微声音。,AMBIENCE,Room Tone
Bell,钟/铃,各种钟或铃的声音。,BELLS,
Church Bell,教堂钟,大型教堂的钟声，悠远而洪亮。,BELLS,Church Bell
Hand Bell,手摇铃,用手摇动的铃铛，清脆。,BELLS,Hand Bell
Bicycle Bell,自行车铃,自行车车把上的铃铛声。,BELLS,Bicycle Bell
Doorbell,门铃,住宅或建筑的门铃声，可以是机械或电子的。,BELLS,Doorbell
Toll,鸣钟,缓慢而有规律地敲钟，常用于表示庄严或悲伤的场合。,BELLS,Toll
Cartoon,卡通,夸张的、非写实的卡通音效。,CARTOON,
Boing,蹦,卡通片中弹跳的声音。,CARTOON,Boing
Zing,嗖/咻,卡通片中物体快速飞过的声音。,CARTOON,Zing
Splat,啪唧,粘稠物体或液体拍在表面上的声音。,CARTOON,Splat
Twinkle,闪烁/叮,卡通中表现星星闪烁或神奇瞬间的音效。,CARTOON,Twinkle
Comedy,喜剧,用于制造喜剧效果的标志性声音。,COMEDY,
Rimshot,鼓边敲击,喜剧中讲完冷笑话后的“吧嗒”鼓声。,COMEDY,Rimshot
Whistle Slide,滑哨,音高快速变化（上升或下降）的哨声，用于表现快速移动或失败。,COMEDY,Whistle Slide
Sad Trombone,悲伤长号,常用于表现失败或失望情绪的“wah-wah-wah”长号声。,COMEDY,Sad Trombone
Creature,生物,各种现实或虚构生物的声音。,CREATURES,
Monster,怪物,大型、具有威胁性的虚构生物的叫声、脚步声等。,CREATURES,Monster
Dinosaur,恐龙,恐龙的叫声和脚步声。,CREATURES,Dinosaur
Insect,昆虫,昆虫的飞行、爬行或鸣叫声。,CREATURES,Insect
Roar,咆哮,大型动物或怪物发出的巨大吼声。,CREATURES,Roar
Growl,低吼,动物或怪物发出的带有威胁性的低沉吼声。,CREATURES,Growl
Hiss,嘶嘶声(生物),蛇或其他生物发出的嘶嘶声。,CREATURES,Hiss
Chirp,唧唧声,小鸟或昆虫发出的短促、尖锐的叫声。,CREATURES,Chirp
Attack,攻击,生物在攻击时发出的叫声或动作声。,CREATURES,Attack
Wings,翅膀,鸟类或昆虫扇动翅膀的声音。,CREATURES,Wings
Destruction,毁坏,物体被破坏、毁坏时发出的声音。,DESTRUCTION,
Debris,碎片,撞击或爆炸后碎片掉落的声音。,DESTRUCTION,Debris
Break,破碎/断裂,物体碎裂或断开。,DESTRUCTION,Break
Snap,啪地断裂,快速、清脆的断裂声。,DESTRUCTION,Snap
Crack,开裂/爆裂,物体表面出现裂纹或发出爆裂声。,DESTRUCTION,Crack
Rip,撕裂,快速、猛力地撕开布料、纸张等。,DESTRUCTION,Rip
Tear,撕开,强调撕裂的过程，可以是缓慢的。,DESTRUCTION,Tear
Crush,压碎/碾碎,物体被外力压扁或压成粉末。,DESTRUCTION,Crush
Crumple,揉皱,将物体（尤指纸张、金属薄片）弄皱。,DESTRUCTION,Crumple
Shatter,粉碎,物体（尤指玻璃、陶瓷）碎成许多小片。,DESTRUCTION,Shatter
Splinter,裂成碎片,木材等裂开成细长碎片。,DESTRUCTION,Splinter
Demolition,拆除,建筑物或大型结构被拆毁的声音。,DESTRUCTION,Demolition
Door,门,各种门的开关、上锁、门把手操作的声音。,DOORS,
Open,打开,移除遮盖物或使入口畅通。,DOORS,Open
Close,关闭,合上开口或遮盖物。,DOORS,Close
Lock,锁,锁门或开锁的声音。,DOORS,Lock
Handle,门把手,操作门把手的声音。,DOORS,Handle
Slam,猛撞/砰然(门),用力关门或撞门的声音。,DOORS,Slam
Creak,嘎吱声(门),老旧的门转动时发出的声音。,DOORS,Creak
Electronic,电子,与电子设备、数字信号相关的声音。,ELECTRONIC,
Beep,哔哔声,电子设备发出的短促提示音。,ELECTRONIC,Beep
Glitch,故障,数字信号或电子设备发生错误时的声音，如卡顿、乱码声。,ELECTRONIC,Glitch
Data,数据,模拟数据传输或处理的电子音效。,ELECTRONIC,Glitch
Scan,扫描,模拟雷达或扫描仪工作的声音。,ELECTRONIC,Scan
Stutter,卡顿/口吃,声音的快速重复，模仿数字故障或口吃的效果。,ELECTRONIC,Glitch
Static,静电,无线电或电视没有信号时发出的沙沙声。,ELECTRONIC,Static
Power Up,开机/能量上升,电子设备启动或角色/武器能量积蓄的声音。,ELECTRONIC,Power Up
Power Down,关机/能量下降,电子设备关闭或能量耗尽的声音。,ELECTRONIC,Power Down
Explosion,爆炸,各种规模的爆炸声。,EXPLOSIONS,
Grenade,手榴弹,手榴弹的爆炸声。,EXPLOSIONS,Grenade
Mine,地雷,地雷爆炸的声音。,EXPLOSIONS,Mine
Fire,火焰,燃烧的声音，如篝火、火把、建筑燃烧。,FIRE,
Fireball,火球,魔法或爆炸产生的大团火焰呼啸而过的声音。,FIRE,Fireball
Ignite,点燃,点燃火源的瞬间声音，如打火机、火柴。,FIRE,Ignite
Burning,燃烧的,指物体正在着火或发热发光的状态。,FIRE,
Ember,余烬,火焰熄灭后，余烬发出的轻微噼啪声。,FIRE,Ember
Foley,拟音,模拟日常生活中各种物体和动作产生的声音。,FOLEY,
Movement,移动,身体或物体移动时的声音，通常是衣物或装备发出的。,FOLEY,Movement
Slide,滑动,物体在表面平滑移动。,FOLEY,Movement
Drag,拖拽,用力拉动，通常有较大摩擦。,FOLEY,Movement
Scrape,刮擦,硬物刮过表面，声音刺耳或粗糙。,FOLEY,Movement
Scratch,刮/抓,比Scrape更细微或尖锐的刮擦。,FOLEY,Movement
