raw,canonical,slot,note
短,Short,modifier,cedict误取lack
长,Long,modifier,
快,Fast,modifier,
慢,Slow,modifier,
高,High,modifier,
低,Low,modifier,
大,Big,modifier,
小,Small,modifier,
厚,Thick,modifier,cedict误取kind
薄,Thin,modifier,
重,Heavy,modifier,
轻,Light,modifier,
软,Soft,modifier,
硬,Hard,modifier,
单,Single,modifier,
双,Double,modifier,
远,Distant,modifier,
近,Close,modifier,
深,Deep,modifier,
浅,Shallow,modifier,
干,Dry,modifier,
湿,Wet,modifier,
空,Empty,modifier,
满,Full,modifier,
新,New,modifier,
旧,Old,modifier,
静音,Muted,modifier,
安静,Quiet,modifier,
响亮,Loud,modifier,
中等,Medium,modifier,
强,Strong,modifier,
弱,Weak,modifier,
飞越,Flyby,motion,gold常用Flyby
飞行,Fly,action,
盘旋,Hover,motion,
经过,Pass By,motion,
循环,Loop,detail,
序列,Sequence,detail,
滴答,Ticking,detail,
嘀嗒,Ticking,detail,
嘶嘶声,Hiss,detail,
嘶嘶,Hiss,detail,
嗡嗡声,Buzzing,detail,
嗡嗡,Buzzing,detail,
咔哒,Click,detail,
关上门,Close Door,action,完整分词词条，避免关上门整体分词后丢失Door
风声,Wind,object,
脚步,Footsteps,action,
脚步声,Footsteps,action,
启动,Startup,action,
结束,Ending,detail,
开始,Start,detail,
音景,Soundscape,design,BOOM常用Soundscape
室内,Indoor,modifier,
室外,Outdoor,modifier,
户外,Outdoor,modifier,
建筑,Construction,object,
施工,Construction,object,
建设,Construction,object,
怪物,Monster,object,
狼嚎,Wolf Howl,source,完整分词词条，避免狼嚎整体分词后仅保留方位词
外星人,Alien,object,
机械,Mechanical,modifier,
电子,Electronic,modifier,
金属,Metal,material,
玻璃,Glass,material,
玻璃破碎,Glass Break,object,zhtest
木头,Wood,material,
木质,Wooden,material,
塑料,Plastic,material,
石头,Stone,material,
水,Water,material,
火,Fire,material,
冰,Ice,material,
工人,Worker,object,
机器,Machine,object,
儿童,Kids,object,
孩子,Kids,object,
景点,Attraction,object,
乐园,Park,object,
水上乐园,Waterpark,object,
休息室,Lounge,object,
楼,Building,object,
建筑物,Building,object,
熨斗,Iron,object,
蒸汽,Steam,material,
声音,Voice,detail,
地狱,Hell,object,
无线电,Radio,object,
工作坊,Workshop,object,
工作室,Studio,object,
机动,Maneuver,action,
排气,Exhaust,object,
装置,Device,object,
远处,Distant,modifier,挖词学成Distance纠正为形容词
抽吸,Suction,action,缺收录走NLLB误成Smoking
乞求,Beg,action,挖词误成Otter
组装,Assemble,action,
摇晃,Shake,detail,挖词误成Rickety
共振,Resonance,detail,挖词误成Formant
购物袋,Shopping Bag,object,挖词丢Bag
用力,Hard,modifier,cedict误取exert短语
镲片,Cymbal,object,误拼成Cymbal Sheet
相互,Mutual,modifier,吸附误成Other
高音,High,modifier,双语层噪声Altissimo
脆饼,Crispbread,object,双语层噪声Pretzel
返回,Back,action,双语层噪声Return
过载,Overload,action,误成Overdrive
打开,Open,action,误成Opened
拳头,Fist,object,误成Key
击中,Hit,action,误成Touche
升级,Upgrade,action,误成Be
蜂鸣,Buzz,detail,NLLB误成Cells
成就,Achievement,detail,误成Ok
礁石,Reef,object,误成Rockpool
急促,Rapid,modifier,误拼Hectical
喘息,Pant,action,误成Chuff
汽笛,Horn,object,cedict冗余ship horn
收集,Collect,action,cedict取gather
蹄声,Hooves,object,NLLB误成Sound
吐信,Tongue Flick,action,NLLB胡乱输出
拉奏,Bowing,action,NLLB误成Razzie
切菜,Chop,action,NLLB误成Cuts of food
撒娇,Purr,detail,拆字乱译
敲响,Strike,action,cedict弱译Sound
余韵,Resonance,detail,误成Tune
喷涌,Gush,action,误成Out
油锅,Oil Pan,object,误成Deep
案板,Cutting Board,object,cedict弱译Board
倒水,Pour,action,NLLB整句
开瓶,Uncork,action,NLLB整句
吹奏,Blow,action,cedict弱译play
面糊,Batter,object,cedict误成panada
窜动,Surge,action,NLLB弱译Moving
进纸,Paper Feed,action,NLLB误成On paper
双击,Double Click,action,误成Flam
震动,Vibrate,action,误成Seismic
连拍,Burst,detail,拆字Continuously Slap
摆头,Oscillate,action,NLLB胡译
铁门,Iron Door,object,NLLB整句
顺流,Flow,action,NLLB整句
搅动,Stir,action,cedict弱译mix
翻页,Page Turn,action,NLLB整句
飘扬,Flap,action,cedict弱译fly
风中,Wind,modifier,NLLB整句
积木,Blocks,object,误成Toy
倒塌,Collapse,action,误成Over
嬉闹,Playing,action,NLLB胡译
重物,Heavy Object,object,拆字丢物
铁锤,Hammer,object,NLLB误成Iron Curtain
坠地,Fall,action,NLLB胡译
划燃,Strike,action,NLLB弱译Burning up
弩箭,Crossbow,object,NLLB误成Arrows
上弦,Cock,action,cedict误draw/月相
拔栓,Pull Pin,action,NLLB误成Pull Bolt
机枪,Machine Gun,object,弱译Gun
扫射,Strafe,action,误成Down
弹链,Ammo Belt,object,NLLB误成Shot chain
战机,Fighter Jet,object,cedict误成war secret
喷气式,Jet,modifier,cedict冗余jet-propelled
轰鸣,Rumble,detail,误成引擎Rev
倾泻,Cascade,action,弱译Down
劈下,Strike,action,NLLB误成Keep it down
震地,Tremor,detail,NLLB冗余earthquake
闷哼,Grunt,action,拆字Muted Harrumph
锅铲,Spatula,object,误成Cooking
油花,Oil Splatter,detail,弱译Liquid
高压锅,Pressure Cooker,object,弱译Pressure
泄压,Release,action,NLLB冗余
嘶鸣,Hiss,detail,误成马嘶Neigh
开罐,Open Can,action,NLLB误成Open door
蝉鸣,Cicada,object,弱译Insects
自动门,Auto Door,object,NLLB冗余
感应,Sensor,detail,cedict弱译response
强化,Enhance,action,cedict弱译intensify
宝箱,Treasure Chest,object,NLLB冗余
砂轮,Grinding Wheel,object,cedict弱译Wheel
符咒,Rune,object,cedict弱译charm
木地板,Wood Floor,material,原靠NLLB提升进词典
木管,Wood Tube,object,原靠NLLB提升进词典
手术室,Operating Room,object,
监护仪,Patient Monitor,object,
滴滴,Beep,detail,自动层误Transportation
推注,Inject,action,
心脏起搏器,Pacemaker,object,
规律,Rhythmic,modifier,cedict误rule
推行,Push,action,cedict误promote
吊臂,Boom Arm,object,
铲斗,Bucket,object,
挖掘,Dig,action,自动层误Into
砂轮机,Grinding Wheel,object,
叉车,Forklift,object,cedict弱pallet jack
拱食,Rooting,action,
采蜜,Foraging,action,
增氧机,Aerator,object,
呼吸器,Regulator,object,cedict误ventilator
喷水,Spout,action,
低鸣,Low Call,detail,
舱门,Hatch,object,
激光炮,Laser Cannon,object,
古墓,Tomb,object,
石门,Stone Door,object,
触发,Trigger,action,cedict误spark
箭雨,Arrow Rain,object,
长矛,Lance,object,cedict误pike
突刺,Thrust,action,
破空,Whoosh,detail,
木筏,Raft,object,
雾号,Foghorn,object,
余震,Aftershock,detail,cedict冗长
针刺,Prick,action,cedict误acupuncture
藤蔓,Vine,object,snap误Also
蚁群,Ant Swarm,object,
织网,Web Spin,action,
夜啼,Night Call,detail,
推拉,Push Pull,action,
盖下,Stamp Down,action,
装订,Staple Bind,action,
吞纸,Feed Paper,action,
智能锁,Smart Lock,object,
算盘,Abacus,object,cedict误plan
棒针,Knitting Needle,object,
轻响,Soft Ring,detail,
拉上,Zip Up,action,
涂画,Draw,action,
麻绳,Hemp Rope,object,
陶罐,Clay Pot,object,
蜡封,Wax Seal,object,
撕下,Tear Off,action,
读写,Read Write,action,cedict冗长
碎纸机,Shredder,object,统一
复印机,Photocopier,object,
鲸鱼,Whale,object,
珊瑚,Coral,object,
收割机,Harvester,object,
挤奶,Milking,action,
猪圈,Pigsty,object,
鱼塘,Fishpond,object,
潜水,Scuba,modifier,
海浪,Waves,object,
战马,Warhorse,object,
铁链,Chain,object,
雪橇,Sled,object,
手风琴,Accordion,object,
口琴,Harmonica,object,
钹,Cymbal,object,
定音鼓,Timpani,object,
木鱼,Wooden Fish,object,
订书机,Stapler,object,
路由器,Router,object,
充电宝,Power Bank,object,
缝纫,Sewing,action,
刺绣,Embroidery,action,
编织,Knit,action,
染色,Dye,action,
晾晒,Hang Dry,action,
纽扣,Button,object,
魔术贴,Velcro,object,
泡沫,Foam,material,
凝胶,Gel,material,
蜡笔,Crayon,object,
粉笔,Chalk,object,
黑板,Chalkboard,object,
白板笔,Dry Erase Marker,object,
尼龙,Nylon,material,
丝绸,Silk,material,
帆布,Canvas,material,
琥珀,Amber,material,
玛瑙,Agate,material,
化石,Fossil,object,
考古,Archaeology,modifier,
罗盘,Compass,object,
羊皮纸,Parchment,material,
墨水,Ink,material,
羽毛笔,Quill Pen,object,
印章,Seal,object,
哔声,Bleep,detail,
齐鸣,Unison,detail,
银链,Silver Chain,object,
串珠,String Beads,object,
染缸,Dye Vat,object,
卷动,Wind,action,
滑行,Taxi,motion,误Skating
跑道,Runway,object,cedict误track
水流,Water Flow,detail,cedict误river
指纹,Fingerprint,detail,
嗡鸣,Hum,detail,误Drone
扣上,Snap On,action,
机场,Airport,object,
安检,Security Check,object,
登机口,Gate,object,
塔台,Control Tower,object,
通话,Comms,detail,cedict误phone call
锣鼓,Gong Drum,object,
舞狮,Lion Dance,object,
鞭炮,Firecracker,object,
矿井,Mine,object,
矿车,Mine Cart,object,
钻头,Drill Bit,object,
金饰,Gold Jewelry,object,
怀表,Pocket Watch,object,
座钟,Mantel Clock,object,
织布机,Loom,object,
暗房,Darkroom,object,
闪光灯,Flash,detail,
监狱,Prison,object,
手铐,Handcuffs,object,
警棍,Baton,object,
探照灯,Searchlight,object,
对讲机,Radio,object,
哨兵,Sentry,object,
巡逻,Patrol,action,
破墙,Break Wall,action,
搅拌车,Cement Mixer,object,
出料,Discharge,action,
急停,Emergency Stop,action,
翘头,Wheely,action,
收帆,Furl Sail,action,
划水,Paddle,action,
冰层,Ice Sheet,object,
冰面,Ice Surface,object,
冰窟,Ice Cave,object,
雪雾,Snow Spray,detail,
冰刀,Skate Blade,object,
手术刀,Scalpel,object,
牙钻,Dental Drill,object,
核磁,MRI,object,
水带,Fire Hose,object,
喷淋,Sprinkler,object,
拧干,Wring Dry,action,
剃须,Shave,action,
热风,Hot Air,detail,
海盗船,Pirate Ship,object,
出票,Print Ticket,action,
篮网,Net Swish,object,
金光,Golden Glow,detail,
喝下,Drink,action,
扎入,Stick In,action,
木瓶,Bowling Pins,object,
呼啦,Whoosh,detail,
取蜜,Harvest Honey,action,
羊圈,Sheep Pen,object,
刨地,Paw Ground,action,
叮声,Ding,detail,
贴标,Label,action,
钉入,Nail In,action,
落位,Set Down,action,
钢索,Steel Cable,object,
船锚,Anchor,object,
抛入,Cast In,action,
开阀,Open Valve,action,
撒开,Cast Out,action,
甩出,Cast,action,
科考,Research Station,object,cedict误科举
冲撞,Collide,action,cedict误offend
群落,Colony,modifier,cedict误community
洗牙,Teeth Cleaning,action,cedict冗长
除颤器,Defibrillator,object,
担架,Stretcher,object,cedict误bier
消防,Firefighting,modifier,
脱水,Spin Dry,action,cedict误dehydrated
梳头,Comb Hair,action,cedict冗长
逃生,Emergency Exit,modifier,cedict冗长
困人,Trapped,modifier,
乒乓球,Ping Pong,object,
对打,Rally,action,cedict误Fight致Table Fight
风车,Windmill,object,cedict误pinwheel
发酵,Ferment,action,cedict误simmer
质检,Quality Check,action,cedict误quarantine
仓库,Warehouse,object,cedict误depot
快递,Express,detail,
集装箱,Shipping Container,object,
港口,Harbor,object,
钳,Claw,object,cedict误F-clamp
夹,Pinch,action,
电锤,Jackhammer,object,
钢筋,Rebar,material,
点焊,Spot Weld,action,
吊车,Crane,object,
回火,Backfire,action,cedict误temper
皮划艇,Kayak,object,cedict冗长
极地,Polar,modifier,
破冰船,Icebreaker,object,
雪原,Snowfield,object,
雪板,Snowboard,object,
病房,Ward,object,
听诊器,Stethoscope,object,
离心机,Centrifuge,object,
培养皿,Petri Dish,object,
绷带,Bandage,material,
烟雾,Smoke,material,cedict误mist
报警,Alarm,action,
自动扶梯,Escalator,object,
旋转木马,Carousel,object,
弹珠台,Pinball,object,
投币,Insert Coin,action,
篮球机,Basketball Arcade,object,
投篮,Shoot,action,
头显,Headset,object,
飞镖,Dart,object,
保龄球,Bowling,object,
跳绳,Jump Rope,object,
稻田,Rice Field,object,
收割,Harvest,action,
插秧,Rice Transplant,action,
犁地,Plow,action,
灌溉,Irrigate,action,
蜂箱,Beehive,object,
围栏,Fence,object,
马厩,Stable,object,
磨坊,Mill,object,
奶酪,Cheese,material,
货架,Shelf,object,
分拣,Sort,action,
缆绳,Mooring Line,object,
渔网,Fishing Net,object,
鱼线,Fishing Line,object,
鱼钩,Fishhook,object,
螃蟹,Crab,object,
脚手架,Scaffolding,object,
混凝土,Concrete,material,
浇筑,Pour,action,
拆迁,Demolition,action,
打桩机,Pile Driver,object,
安全帽,Hard Hat,object,
赛车,Race Car,object,
轮胎,Tire,object,
漂移,Drift,action,
换挡,Shift,action,
离合,Clutch,object,
渡轮,Ferry,object,
过山车,Roller Coaster,object,
摩天轮,Ferris Wheel,object,
碰碰车,Bumper Car,object,
鬼屋,Haunted House,object,
跳楼机,Drop Tower,object,
激流,Rapids,object,
药水,Potion,object,
法杖,Staff,object,
台球,Billiards,object,
高尔夫,Golf,object,
网球,Tennis,object,
羽毛球,Badminton,object,
酿酒,Brew,action,
腌菜,Pickle,object,
罐头,Can,object,
包装,Packaging,action,
气泡膜,Bubble Wrap,material,
氧气,Oxygen,material,
减压,Decompress,action,
水下,Underwater,modifier,
声呐,Sonar,object,
钓竿,Fishing Rod,object,
挣扎,Struggle,action,
磁悬浮,Maglev,object,
无声,Silent,modifier,
帆船,Sailboat,object,
企鹅,Penguin,object,
海豹,Seal,object,
发电机,Generator,object,
滑雪,Ski,action,
溜冰,Ice Skate,action,
除颤,Defibrillate,action,
显微镜,Microscope,object,
调焦,Focus,action,
注射,Inject,action,
包扎,Wrap,action,
颠簸,Jolt,action,
故障,Glitch,detail,
洗碗机,Dishwasher,object,
烘干机,Dryer,object,
扫地,Sweep,action,
马桶,Toilet,object,
