raw,canonical_guess,kind,slot_guess,record_count,field_hit_count,example_count,score,decision,reason,source_fields,example_1,example_2,example_3,catid_samples,category_samples,source_files,fx_name_hits,description_hits,keywords_hits,filename_hits,field_quality,example_quality,category_alignment,existing_canonical_status,approved_for_ai,qa_flags
cal,Cal,token,unknown,3129,3129,3,0,reject,record_count>=1000 +25; metadata_noise -30; policy=hard_reject,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""16 Pounder 150m"",""description"":""Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""16 Pounder 15m"",""description"":""Antique artillery, historic cannon, cal 27mm. XY positioned 15m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""16 Pounder 175m"",""description"":""Antique artillery, historic cannon, cal 27mm. XY handheld recorder positioned 175m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}",GUNCano,GUNS/CANNON,00_Cannons_CK_Metadata.xlsx#CACK,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;duplicate_examples;rejected_evidence
single,Single,token,unknown,1978,4635,3,20,reject,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; metadata_noise -30; policy=hard_reject; governed_aliases=1,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Humpback Whale Growl Single"",""description"":""Wild, Marine, Mammal. Low, fluttering growling and snarling. Underwater hydrophone recording."",""category"":""ANIMALS/AQUATIC"",""cat_id"":""ANMLAqua""}","{""fx_name"":""Wood Plywood Debris Drop Single"",""description"":""Dropping thin pieces onto ground. Softly rustling and crackling."",""category"":""GUNS/CANNON"",""cat_id"":""WOODImpt""}","{""fx_name"":""Group Shots Single 01"",""description"":"""",""category"":""#REF!/#REF!"",""cat_id"":""GUNCano""}",GUNCano; ANMLAqua; WOODImpt,#REF!/#REF!; ANIMALS/AQUATIC; GUNS/CANNON,00_Cannons_CK_Metadata.xlsx#CANNONS Groupshots; 00_Alien_Life_CK_Metadata.xlsx#ALCK; 00_Cannons_CK_Metadata.xlsx#CACK,20,0,0,0,medium,high,weak,existing_keep,no,ambiguous_token;category_mismatch;duplicate_examples;rejected_evidence
away,Away,token,unknown,1882,1888,3,20,reject,record_count>=1000 +25; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=1; description=14; keywords=5; filename=0,"{""fx_name"":""Away With The Fairies"",""description"":""Quick rattle like sound with resonant ringing."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":"""",""description"":""BAILING TRICK FAIL Skateboard rolling away."",""category"":"""",""cat_id"":""""}","{""fx_name"":"""",""description"":""Aeroplane. Mono Prop, World War II Fighter. Idle, Taxi. External, ORTF mic from side. 1944, 27.0L Rolls-Royce Merlin V12."",""category"":""Vehicles/Aircraft"",""cat_id"":""""}",GUNCano; DSGNMisc,GUNS/CANNON; Vehicles/Aircraft; DESIGNED/MISC,00_Cannons_CK_Metadata.xlsx#CACK; P51_Mustang_Metadata.xlsx#P-51 Mustant MB; 00_Cinematic_Expressions_DS_Metadata.xlsx#CXDS Metadata; 00_Skate_Metadata.xlsx#MBSB,1,14,5,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
movement,Movement,token,unknown,1671,2503,3,30,reject,record_count>=1000 +25; appears_in_fx_name +15; category_aligned +10; unknown_generic_token -20; policy=unknown; governed_aliases=1,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Fine Broken Glass Movement Fast"",""description"":""Quick shifting shards with crisp glass tones and fast motion texture."",""category"":""GLASS/MOVEMENT"",""cat_id"":""GLASMvmt""}","{""fx_name"":""Fine Broken Glass Movement Long"",""description"":""Extended sweep of broken glass with rhythmic debris contact."",""category"":""GLASS/MOVEMENT"",""cat_id"":""GLASMvmt""}","{""fx_name"":""Fine Broken Glass Movement Short"",""description"":""Short glass scatter with fine chimes and light movement."",""category"":""GLASS/MOVEMENT"",""cat_id"":""GLASMvmt""}",WATRMvmt; METLMvmt; GLASMvmt; CLOTHMvmt; PLASMvmt,WATER/MOVEMENT; METAL/MOVEMENT; GLASS/MOVEMENT; CLOTH/MOVEMENT; PLASTIC/MOVEMENT,00_Magic_Alchemy_CK_Metadata.xlsx#MALCK; 00_SciFi_Momentum_Metadata_CK.xlsx#CK; 00_Magic_Wisp_CK_Metadata.xlsx#MAWCK; 00_3DS16_Swamps_Stereo_Metadata.xlsx#3DS16 Swamp Stereo,20,0,0,0,high,high,aligned,existing_keep,no,ambiguous_token;rejected_evidence
shots,Shots,token,unknown,1453,2074,3,10,reject,record_count>=1000 +25; appears_in_fx_name +15; metadata_noise -30; policy=hard_reject,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Group Shots 01 100m"",""description"":""Antique artillery bombardment, multiple historic cannons firing in sequence. XY positioned 100m away from cannons."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""Group Shots 01 120m"",""description"":""Antique artillery bombardment, multiple historic cannons firing in sequence. XY positioned 120m away from cannons."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""Group Shots 01 130m"",""description"":""Antique artillery bombardment, multiple historic cannons firing in sequence. MS positioned 130m away from cannons."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}",GUNCano,GUNS/CANNON,00_Cannons_CK_Metadata.xlsx#CACK,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
shooter,Shooter,token,unknown,1262,1265,3,0,reject,record_count>=1000 +25; metadata_noise -30; policy=hard_reject,fx_name=0; description=17; keywords=3; filename=0,"{""fx_name"":"""",""description"":""SHOOT BIG Pitch falling impact with slight distortion and some mechanics."",""category"":""SCIFI/WEAPON"",""cat_id"":""""}","{""fx_name"":"""",""description"":""SHOOT MEDIUM Heavy and fast automatic firing. Small explosion when firing ceases and glitchy reverberations."",""category"":""SCIFI/WEAPON"",""cat_id"":""""}","{""fx_name"":"""",""description"":""SHOOT MEDIUM Heavy single firing with explosive and glitchy reverberation."",""category"":""SCIFI/WEAPON"",""cat_id"":""""}",GUNAuto; GUNRif; GUNMech,GUNS/AUTOMATIC; GUNS/RIFLE; SCIFI/WEAPON; GUNS/MECHANISM,00_Guns_CK_Remastered_Metadata.xlsx#Guns CK Remastered; 00_Cyber_Weapons_DS_Metadata.xlsx#CWDS,0,17,3,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
elements,Elements,token,unknown,1260,1260,3,0,reject,record_count>=1000 +25; metadata_noise -30; policy=hard_reject,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""Noise Flutter Random Shing"",""description"":""Extended synthesized movement featuring a fluttering noise with random shimmering elements."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}","{""fx_name"":""Noise Tone Glitch"",""description"":""Brief, glitchy sharp accent characterised by noise and tonal elements."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}","{""fx_name"":""Tonal Glitch High"",""description"":""High-pitched glitchy sharp accent with tonal elements."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}",ROCKImpt; DSGNSynth; METLImpt; ANMLAqua; DIRTImpt,GUNS/CANNON; DESIGNED/SYNTHETIC; ANIMALS/AQUATIC; SWOOSHES/WHOOSH; DESIGNED/TONAL,00_Cannons_CK_Metadata.xlsx#CACK; 00_Anime_Essentials_Metadata.xlsx#Anime; 00_Aquatic_Predators_Metadata.xlsx#Aquatic Predators; 00_Brute_Force_Metadata.xlsx#Brute Force,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;duplicate_examples;rejected_evidence
shotgun,Shotgun,token,unknown,1248,1783,3,30,reject,record_count>=1000 +25; appears_in_fx_name +15; category_aligned +10; unknown_generic_token -20; policy=unknown; governed_aliases=1,fx_name=2; description=0; keywords=18; filename=0,"{""fx_name"":""M30 Drilling Cocking and Dryfire Shotgun"",""description"":""Cocking and dry fire of the gun."",""category"":""GUNS/MECHANISM"",""cat_id"":""GUNMech""}","{""fx_name"":""M30 Drilling Mag In Out Shotgun"",""description"":""Change the magazine of the gun."",""category"":""GUNS/MECHANISM"",""cat_id"":""GUNMech""}","{""fx_name"":"""",""description"":""PUMPGUN, Single Shot, close, 4m distance, AB Stereo."",""category"":""GUNS/SHOTGUN"",""cat_id"":""""}",GUNMech,GUNS/MECHANISM; GUNS/SHOTGUN; TOYS/MECHANICAL,00_Cyber_Weapons_CK_Metadata.xlsx#CWCK; 00_WWII_Firearms_DS_Metadata.xlsx#WWII Firearms DS; 00_Toy_Guns_Metadata.xlsx#Toy Guns,2,0,18,0,medium,high,mixed,existing_keep,no,category_mixed;rejected_evidence
medium,Medium,token,unknown,1217,2341,3,30,reject,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Accent Dry Medium Modulation"",""description"":""Sharp accent characterised by dry medium modulation."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}","{""fx_name"":""Accent Medium"",""description"":""Jolt with medium accent."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}","{""fx_name"":""Distortion White Noise Medium"",""description"":""Extended explosion noise with moderate distortion and white noise."",""category"":""EXPLOSIONS/DESIGNED"",""cat_id"":""EXPLDsgn""}",ANMLAqua; DSGNSynth; DSGNWhsh; EXPLDsgn,ANIMALS/AQUATIC; DESIGNED/SYNTHETIC; DESIGNED/WHOOSH; EXPLOSIONS/DESIGNED,00_Aquatic_Predators_Metadata.xlsx#Aquatic Predators; 00_Anime_Essentials_Metadata.xlsx#Anime,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
gasoline,Gasoline,token,unknown,1189,1189,3,5,reject,record_count>=1000 +25; unknown_generic_token -20; policy=unknown,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":"""",""description"":""VEHICLE COMPACT CAR Driving. External, in engine compartment. 2007 gasoline."",""category"":""Vehicles/Cars"",""cat_id"":""""}","{""fx_name"":"""",""description"":""VEHICLE COMPACT CAR Driving. External, at exhaust. 2007 gasoline."",""category"":""Vehicles/Cars"",""cat_id"":""""}","{""fx_name"":"""",""description"":""VEHICLE COMPACT CAR Driving. Internal, inside car. 2007 gasoline."",""category"":""Vehicles/Cars"",""cat_id"":""""}",,Vehicles/Cars,01 Everyday Cars - Tracklist.xlsx#Everyday Cars Tracklist,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;rejected_evidence
war,War,token,unknown,1168,1181,3,15,reject,record_count>=1000 +25; appears_in_fx_name +15; library_context -25; policy=hard_reject,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Call Of War"",""description"":""PROCESSED SCREECH SHORT High pitch buzz like sound, similar to short note buzz on a trumpet. Distorted."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Braam Electronic War Horn"",""description"":""Slightly wavering sound of an electronic horn."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}","{""fx_name"":""Call For War"",""description"":""Electric buzz and ringing with unstable intensity."",""category"":""DESIGNED/BRAAM"",""cat_id"":""DSGNBram""}",CRWDBatl; DSGNBram; DSGNMisc; DSGNSynth; WHSH,CROWDS/BATTLE; DESIGNED/BRAAM; DESIGNED/MISC; DESIGNED/SYNTHETIC; SWOOSHES/WHOOSH,00_Crowds_War_And_Battle_Metadata.xlsx#Crowds - War & Battle; 00_Cinematic_Expressions_DS_Metadata.xlsx#CXDS Metadata; 00_Brute_Force_Metadata.xlsx#Brute Force; 00_Cinematic_Expressions_CK_Metadata.xlsx#CXCK Metadata,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
open,Open,token,unknown,1121,1393,3,20,reject,record_count>=1000 +25; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown; governed_aliases=2,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Book Open Rapidly"",""description"":""Quick rustling and flipping of pages as the book is opened swiftly."",""category"":""PAPER/HANDLE"",""cat_id"":""PAPRHndl""}","{""fx_name"":""Ice Mold Open"",""description"":""Plastic tick characterized by a light and crisp snapping or clicking noise."",""category"":""USER INTERFACE/CLICK"",""cat_id"":""UIClick""}","{""fx_name"":""Plastic Box Open"",""description"":""Plastic box being opened with a popping motion."",""category"":""CARTOON/POP"",""cat_id"":""TOONPop""}",OBJUmbr; UIClick; GAMEMisc; WHSH; PAPRMisc,OBJECTS/UMBRELLA; USER INTERFACE/CLICK; GAMES/MISC; SWOOSHES/WHOOSH; PAPER/MISC,00_Casual_UI_CK_Metadata.xlsx#CK; 00_Magic_Wisp_CK_Metadata.xlsx#MAWCK; 00_Cinematic_Motion_Metadata_CK.xlsx#CMCK; 00_Magic_Alchemy_CK_Metadata.xlsx#MALCK; 00_SciFi_Momentum_Metadata_CK.xlsx#CK,20,0,0,0,medium,high,weak,existing_keep,no,category_mismatch;rejected_evidence
