raw,canonical,slot,lang,priority,rule_type,review_status,ambiguity,tags,source,note,review_batch,review_risk,review_action,review_reason,cleaned_raw,surface_action,surface_reason,surface_risk,original_raw,decision_recommendation,decision_reason,conflict_group
重击声,Hit,action,zh,0,alias,review,high,impact/hit,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;conservative impact alias,batch_caution,high,pending,ambiguous_with_impact_knock_punch,重击,reject_surface,existing_canonical_raw_conflict,high,重击声,reject_candidate,caution_batch_default;existing_canonical_raw_conflict;ambiguous_with_impact_knock_punch,
击打,Hit,action,zh,0,alias,review,high,impact/hit,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;common sound-design search term,batch_caution,high,pending,ambiguous_with_impact_knock_punch,击打,replace_raw,strip_suffix_声,low,击打声,needs_review,caution_batch_default;surface_replace_raw;ambiguous_with_impact_knock_punch,
碰击,Hit,action,zh,0,alias,review,high,impact/hit,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;physical hit sound,batch_caution,high,pending,ambiguous_with_impact_knock_punch,碰击,replace_raw,strip_suffix_声,low,碰击声,needs_review,caution_batch_default;surface_replace_raw;ambiguous_with_impact_knock_punch;raw_multi_canonical_conflict,raw_conflict_001
拳击,Hit,action,zh,0,alias,review,high,impact/hit,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;fight impact context,batch_caution,high,pending,ambiguous_with_impact_knock_punch,拳击,needs_review,fight_specific_surface,high,拳击声,needs_review,caution_batch_default;fight_specific_surface;ambiguous_with_impact_knock_punch;fight_specific,
吱吱,Squeak,action,zh,0,alias,review,high,friction/squeak,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;repeated squeak sound,batch_caution,high,pending,category_pollution_possible,吱吱,replace_raw,strip_suffix_声,low,吱吱声,needs_review,caution_batch_default;surface_replace_raw;category_pollution_possible,
尖锐吱响,Squeak,action,zh,0,alias,review,high,friction/squeak,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;sharp squeak,batch_caution,high,pending,category_pollution_possible,尖锐吱响,keep_raw,no_suffix,low,尖锐吱响,needs_review,caution_batch_default;category_pollution_possible,
挤压吱响,Squeak,action,zh,0,alias,review,high,friction/squeak,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;squeezed object squeak,batch_caution,high,pending,category_pollution_possible,挤压吱响,keep_raw,no_suffix,low,挤压吱响,needs_review,caution_batch_default;category_pollution_possible,
金属吱响,Squeak,action,zh,0,alias,review,high,friction/squeak,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;metal squeak,batch_caution,high,pending,category_pollution_possible,金属吱响,keep_raw,no_suffix,low,金属吱响,needs_review,caution_batch_default;category_pollution_possible,
脆裂,Crack,action,zh,0,alias,review,high,break/crack,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;sharp crack sound,batch_caution,high,pending,broad_material_spread,脆裂,replace_raw,strip_suffix_声,low,脆裂声,needs_review,caution_batch_default;surface_replace_raw;broad_material_spread,
爆裂脆响,Crack,action,zh,0,alias,review,high,break/crack,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;brief explosive crack,batch_caution,high,pending,broad_material_spread,爆裂脆响,keep_raw,no_suffix,low,爆裂脆响,needs_review,caution_batch_default;broad_material_spread,
劈裂,Crack,action,zh,0,alias,review,high,break/crack,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;splitting crack,batch_caution,high,pending,broad_material_spread,劈裂,replace_raw,strip_suffix_声,low,劈裂声,needs_review,caution_batch_default;surface_replace_raw;broad_material_spread,
断裂脆响,Crack,action,zh,0,alias,review,high,break/crack,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;fracture transient,batch_caution,high,pending,broad_material_spread,断裂脆响,keep_raw,no_suffix,low,断裂脆响,needs_review,caution_batch_default;broad_material_spread,
单发,Single Shot,action,zh,0,alias,review,high,weapon/phrase,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;atomic weapon phrase,batch_weapon,high,pending,phrase_weapon_high_risk,单发,keep_raw,no_suffix,low,单发,needs_review,weapon_batch_default;phrase_weapon_high_risk,
单发射击,Single Shot,action,zh,0,alias,review,high,weapon/phrase,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;atomic weapon phrase,batch_weapon,high,pending,phrase_weapon_high_risk,单发射击,keep_raw,no_suffix,low,单发射击,needs_review,weapon_batch_default;phrase_weapon_high_risk,
单次开火,Single Shot,action,zh,0,alias,review,high,weapon/phrase,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;atomic weapon phrase,batch_weapon,high,pending,phrase_weapon_high_risk,单次开火,keep_raw,no_suffix,low,单次开火,needs_review,weapon_batch_default;phrase_weapon_high_risk,
单发枪,Single Shot,action,zh,0,alias,review,high,weapon/phrase,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;atomic weapon phrase,batch_weapon,high,pending,phrase_weapon_high_risk,单发枪,replace_raw,strip_suffix_声,low,单发枪声,needs_review,weapon_batch_default;surface_replace_raw;phrase_weapon_high_risk,
冲击,Impact,action,zh,0,alias,review,medium,impact,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;general impact sound,batch_safe,medium,pending,standard_alias_review,冲击,replace_raw,strip_suffix_声,low,冲击声,needs_review,safe_medium_risk;surface_replace_raw;standard_alias_review,
重物撞击,Impact,action,zh,0,alias,review,medium,impact,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;heavy object impact,batch_safe,medium,pending,standard_alias_review,重物撞击,needs_review,surface_too_descriptive,medium,重物撞击声,needs_review,safe_medium_risk;surface_too_descriptive;standard_alias_review,
碰击,Impact,action,zh,0,alias,review,medium,impact,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;contact impact,batch_safe,medium,pending,standard_alias_review,碰击,replace_raw,strip_suffix_声,low,碰击声,needs_review,safe_medium_risk;surface_replace_raw;standard_alias_review;raw_multi_canonical_conflict,raw_conflict_001
