zh_synonym,subcategory_en,category,catid
稳定的气流,BLOW,AIR,AIRBlow
气压释放,BLOW,AIR,AIRBlow
空气爆炸,BURST,AIR,AIRBrst
空气爆破,BURST,AIR,AIRBrst
噗噗,BURST,AIR,AIRBrst
各种各样的,MISC,AIR,AIRMisc
其他空气声音,MISC,AIR,AIRMisc
驾驶舱门,DOOR,AIRCRAFT,AERODoor
飞机门,DOOR,AIRCRAFT,AERODoor
紧急出口,DOOR,AIRCRAFT,AERODoor
旋翼机,HELICOPTER,AIRCRAFT,AEROHeli
飞机内部录音,INTERIOR,AIRCRAFT,AEROInt
复杂环境音,INTERIOR,AIRCRAFT,AEROInt
驾驶舱内部,INTERIOR,AIRCRAFT,AEROInt
滑翔机,INTERIOR,AIRCRAFT,AEROInt
齐柏林飞艇,INTERIOR,AIRCRAFT,AEROInt
喷气客机,INTERIOR,AIRCRAFT,AEROInt
大型喷气式飞机,INTERIOR,AIRCRAFT,AEROInt
里尔喷气机,INTERIOR,AIRCRAFT,AEROInt
空中客车,INTERIOR,AIRCRAFT,AEROInt
庞巴迪 737,INTERIOR,AIRCRAFT,AEROInt
747,INTERIOR,AIRCRAFT,AEROInt
777,INTERIOR,AIRCRAFT,AEROInt
A310,INTERIOR,AIRCRAFT,AEROInt
DC-10,INTERIOR,AIRCRAFT,AEROInt
A330,INTERIOR,AIRCRAFT,AEROInt
A350,INTERIOR,AIRCRAFT,AEROInt
A380,INTERIOR,AIRCRAFT,AEROInt
喷气客机,JET,AIRCRAFT,AEROJet
大型喷气式飞机,JET,AIRCRAFT,AEROJet
里尔喷气机,JET,AIRCRAFT,AEROJet
空中客车公司,JET,AIRCRAFT,AEROJet
737,JET,AIRCRAFT,AEROJet
747,JET,AIRCRAFT,AEROJet
777,JET,AIRCRAFT,AEROJet
A310,JET,AIRCRAFT,AEROJet
DC-10,JET,AIRCRAFT,AEROJet
A330,JET,AIRCRAFT,AEROJet
A350,JET,AIRCRAFT,AEROJet
A380,JET,AIRCRAFT,AEROJet
驾驶舱操纵杆,MECHANISM,AIRCRAFT,AEROMech
方向舵,MECHANISM,AIRCRAFT,AEROMech
隐形轰炸机,MILITARY,AIRCRAFT,AEROMil
蓝天使特技飞行队,MILITARY,AIRCRAFT,AEROMil
雷鸟,MILITARY,AIRCRAFT,AEROMil
军用无人机,MILITARY,AIRCRAFT,AEROMil
洛克希德,MILITARY,AIRCRAFT,AEROMil
F18,MILITARY,AIRCRAFT,AEROMil
F16,MILITARY,AIRCRAFT,AEROMil
F35,MILITARY,AIRCRAFT,AEROMil
F22,MILITARY,AIRCRAFT,AEROMil
A10,MILITARY,AIRCRAFT,AEROMil
P52,MILITARY,AIRCRAFT,AEROMil
军用飞机,MILITARY,AIRCRAFT,AEROMil
滑翔机,MISC,AIRCRAFT,AEROMisc
超轻型,MISC,AIRCRAFT,AEROMisc
悬挂式滑翔机,MISC,AIRCRAFT,AEROMisc
齐柏林飞艇,MISC,AIRCRAFT,AEROMisc
其他种类的飞机,MISC,AIRCRAFT,AEROMisc
双翼飞机,PROP,AIRCRAFT,AEROProp
三翼飞机,PROP,AIRCRAFT,AEROProp
涡轮螺旋桨飞机,PROP,AIRCRAFT,AEROProp
特技飞机,PROP,AIRCRAFT,AEROProp
作物喷粉器,PROP,AIRCRAFT,AEROProp
农用飞机,PROP,AIRCRAFT,AEROProp
双螺旋桨,PROP,AIRCRAFT,AEROProp
螺旋桨喷气发动机,PROP,AIRCRAFT,AEROProp
四轴飞行器,RADIO CONTROLLED,AIRCRAFT,AERORadio
无人驾驶飞行器,RADIO CONTROLLED,AIRCRAFT,AERORadio
遥控直升机,RADIO CONTROLLED,AIRCRAFT,AERORadio
喷气背包,ROCKET,AIRCRAFT,AERORckt
SpaceX,ROCKET,AIRCRAFT,AERORckt
美国航空航天局,ROCKET,AIRCRAFT,AERORckt
核火箭,ROCKET,AIRCRAFT,AERORckt
火铃,BELL,ALARMS,ALRMBell
校铃,BELL,ALARMS,ALRMBell
铁路道口铃,BELL,ALARMS,ALRMBell
平交道警铃,BELL,ALARMS,ALRMBell
雪橇铃,BELL,ALARMS,ALRMBell
门铃,BUZZER,ALARMS,ALRMBuzr
