zh,existing,proposed
释放,Release,BLOW
喷射,Spray,BLOW
喷射,Spray,BURST
排气,Exhaust,HISS
吸入,Inhale,SUCTION
舱门,Hatch,DOOR
直升机,Helicopter,HELICOPTER
战斗机,Fighter Jet,INTERIOR
客机,INTERIOR,JET
喷气客机,INTERIOR,JET
大型喷气式飞机,INTERIOR,JET
里尔喷气机,INTERIOR,JET
波音,INTERIOR,JET
襟翼,Flap,MECHANISM
战斗机,Fighter Jet,MILITARY
飞艇,Airship,MISC
滑翔机,INTERIOR,MISC
热气球,Hot Air Balloon,MISC
齐柏林飞艇,INTERIOR,MISC
螺旋桨,Propeller,PROP
螺旋桨,Propeller,PROP
无人机,Drone,RADIO CONTROLLED
火箭,Rocket,ROCKET
导弹,Missile,ROCKET
汽笛,Horn,SIREN
嘉年华,AMUSEMENT,CELEBRATION
建筑,Construction,CONSTRUCTION
打桩机,Pile Driver,CONSTRUCTION
沙漠,AIR,DESERT
干旱,Drought,DESERT
消防,Fire,EMERGENCY
证据,Evidence,EMERGENCY
伤害,Damage,EMERGENCY
地震,Earthquake,EMERGENCY
洪水,Flood,EMERGENCY
幻想,DESIGNED,FANTASY
科幻,DESIGNED,FANTASY
拖拉机,Tractor,FARM
农田,FARM,GRASSLAND
牧场,FARM,GRASSLAND
实验室,Laboratory,HITECH
手术室,Operating Room,HOSPITAL
病房,Ward,HOSPITAL
车间,Workshop,INDUSTRIAL
仓库,Warehouse,INDUSTRIAL
码头,Pier,NAUTICAL
操场,Playground,PARK
监狱,Prison,PRISON
拘留,Detain,PRISON
教堂,Church,RELIGIOUS
教堂,Church,RELIGIOUS
室内,Indoor,RESIDENTIAL
餐车,Dining Car,RESTAURANT & BAR
房间,RESIDENTIAL,ROOM TONE
安静的空气,AIR,ROOM TONE
草原,GRASSLAND,RURAL
树林,FOREST,RURAL
草地,GRASSLAND,RURAL
操场,Playground,SCHOOL
放学,School Out,SCHOOL
食堂,RESTAURANT & BAR,SCHOOL
蒸汽朋克,Steampunk,SCIFI
码头,Pier,SEASIDE
网球,Tennis,SPORT
训练,Training,SPORT
排球,Volleyball,SPORT
湖边,LAKESIDE,SWAMP
机场,Airport,TRANSPORTATION
热带雨林,FOREST,TROPICAL
云雾林,FOREST,TROPICAL
高原,RURAL,TUNDRA
