raw,canonical_guess,kind,slot_guess,record_count,field_hit_count,example_count,score,decision,reason,source_fields,example_1,example_2,example_3,catid_samples,category_samples,source_files
short,Short,token,modifier,2263,4281,3,50,review,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; policy=review_only; governed_aliases=1,fx_name=750; description=1849; keywords=808; filename=874,"{""fx_name"":""Dawn Birds Calm"",""description"":""Birds call in lowland tropical jungle during calm dawn. Chirping, flying insects throughout. Some tree debris. Short billed Pigeon; Chestnu…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}","{""fx_name"":""Morning Birds Calm"",""description"":""A calm morning in the cloud forest with bird activity at various distances. Slight distant breeze and distant insects throughout. Flying in…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}","{""fx_name"":""Pollinating Hummingbirds Insects"",""description"":""Hummingbirds and insects heard pollinating a large flowering tree in a lowland tropical jungle. Light breeze and tree debris falling heard…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}",CREAHmn; WHSH; DSGNMisc,CREATURES/HUMANOID; SWOOSHES/WHOOSH; DESIGNED/MISC,00_Medieval_Melee_CK_Metadata.xlsx#Medeival Melee CK; 00_Cyber_Weapons_CK_Metadata.xlsx#CWCK; 00_Creatures_Humanoid_CK_Metadata.xlsx#CRHCK
high,High,token,detail,1856,2750,3,40,review,record_count>=1000 +25; appears_in_fx_name +15; policy=review_only,fx_name=408; description=1565; keywords=370; filename=407,"{""fx_name"":""Afternoon Insects Birds"",""description"":""High pitch insects chirping and flying insects buzzing in the afternoon in the Amazon jungle. Birds calling at moderate distances throughou…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}","{""fx_name"":""Harbor Seal Breath Airy"",""description"":""Wild, Marine, Mammal. Very short, airy snorting. Mono, Sanken Co100K high frequency response."",""category"":""ANIMALS/AQUATIC"",""cat_id"":""ANMLAqua""}","{""fx_name"":""Harbor Seal Groan Growl"",""description"":""Wild, Marine, Mammal. Low, throaty groaning with snorts at the end. Mono, Sanken Co100K high frequency response."",""category"":""ANIMALS/AQUATIC"",""cat_id"":""ANMLAqua""}",CREAHmn; CREASrce; DSGNMisc,CREATURES/HUMANOID; CREATURES/SOURCE; DESIGNED/MISC,00_Alien_Life_CK_Metadata.xlsx#ALCK; 00_Creatures_Humanoid_CK_Metadata.xlsx#CRHCK; 00_Magic_Wisp_CK_Metadata.xlsx#MAWCK
fast,Fast,token,modifier,1749,3468,3,50,review,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; policy=review_only; governed_aliases=1,fx_name=781; description=789; keywords=787; filename=1111,"{""fx_name"":""Honey Badger Growl Long Hard Stutter"",""description"":""Wild, Ratel, Mammal. Angry, tonal growling and snarling with fast stuttering. Mono, Sanken Co100K high frequency response."",""category"":""ANIMALS/WILD"",""cat_id"":""ANMLWild""}","{""fx_name"":""Honey Badger Growl Long Hard Stutter"",""description"":""Wild, Ratel, Mammal. Angry, tonal growling and snarling with fast stuttering."",""category"":""ANIMALS/WILD"",""cat_id"":""ANMLWild""}","{""fx_name"":""Honey Badger Growl Long Soft Stutter"",""description"":""Wild, Ratel, Mammal. Tonal growling and snarling with fast stuttering. Mono, Sanken Co100K high frequency response."",""category"":""ANIMALS/WILD"",""cat_id"":""ANMLWild""}",WHSH; GUNMech; GUNCano,Vehicles/Cars; SWOOSHES/WHOOSH; GUNS/MECHANISM,01 Everyday Cars - Tracklist.xlsx#Everyday Cars Tracklist; 00_Medieval_Melee_CK_Metadata.xlsx#Medeival Melee CK; 00_Cinematic_Motion_Metadata_CK.xlsx#CMCK
long,Long,token,modifier,1732,3287,3,50,review,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; policy=review_only,fx_name=638; description=1322; keywords=650; filename=677,"{""fx_name"":""Thunder Close Cracking Boom"",""description"":""Close thunder with long cracks and then distantly booms"",""category"":""WEATHER/THUNDER"",""cat_id"":""THUN""}","{""fx_name"":""Thunder Close Cracking Booming"",""description"":""Close thunder cracking and booming with a long tail. Light raindrops faintly falling."",""category"":""WEATHER/THUNDER"",""cat_id"":""THUN""}","{""fx_name"":""Thunder Close Cracking Rolling"",""description"":""Close thunder cracks and rolls with a slight metallic tonality and long booming tail. Birds heard distantly at times."",""category"":""WEATHER/THUNDER"",""cat_id"":""THUN""}",GUNCano; CREAHmn; GUNAuto,CREATURES/HUMANOID; #REF!/#REF!; GUNS/CANNON,00_Creatures_Humanoid_CK_Metadata.xlsx#CRHCK; 00_Cinematic_Expressions_CK_Metadata.xlsx#CXCK Metadata; 00_WWII_Firearms_DS_Metadata.xlsx#WWII Firearms DS
hard,Hard,token,modifier,1499,2464,3,50,review,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; policy=review_only; governed_aliases=1,fx_name=396; description=901; keywords=676; filename=491,"{""fx_name"":""Rain Building Subsiding"",""description"":""A heavy rain builds and subsides in the Amazon jungle. Rain drops heard hitting hard surfaces and puddles, but individual drops are not as…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}","{""fx_name"":""Harbor Seal Groan Grunt Hard"",""description"":""Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high frequency response."",""category"":""ANIMALS/AQUATIC"",""cat_id"":""ANMLAqua""}","{""fx_name"":""Harbor Seal Groan Grunt Hard"",""description"":""Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high frequency response."",""category"":""ANIMALS/AQUATIC"",""cat_id"":""ANMLAqua""}",GUNCano; WEAPSwrd; ANMLAqua,GUNS/CANNON; WEAPONS/SWORD; TOYS/MECHANICAL,00_Medieval_Melee_CK_Metadata.xlsx#Medeival Melee CK; 00_Cannons_CK_Metadata.xlsx#METADATA STRATA; 00_Cannons_DS_Metadata.xlsx#METADATA STRATA
soft,Soft,token,modifier,1465,2544,3,50,review,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; policy=review_only; governed_aliases=1,fx_name=484; description=1132; keywords=436; filename=492,"{""fx_name"":""Large Drops"",""description"":""Large drops of water fall off a tree trunk, splattering onto the soft ground."",""category"":""RAIN/VEGETATION"",""cat_id"":""RAINVege""}","{""fx_name"":""Dawn Frogs Vibrant"",""description"":""A chorus of frogs croak and chirp vibrantly in a swamp at dawn. Trilling and flying insects mellow. Birds begin soft calls. Juvenile owls s…"",""category"":""AMBIENCE/SWAMP"",""cat_id"":""AMBSwmp""}","{""fx_name"":""Harbor Seal Groan Grunt Soft"",""description"":""Wild, Marine, Mammal. Calm groaning with airy snorting at the end. Mono, Sanken Co100K high frequency response."",""category"":""ANIMALS/AQUATIC"",""cat_id"":""ANMLAqua""}",GUNCano; WEAPSwrd; DSGNImpt,#REF!/#REF!; TOYS/MECHANICAL; GUNS/CANNON,00_Medieval_Melee_CK_Metadata.xlsx#Medeival Melee CK; 00_Violent_Combat_CK_Metadata.xlsx#VCCK; 00_Magic_Alchemy_CK_Metadata.xlsx#MALCK
tonal,Tonal,token,detail,1456,2309,3,60,review,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; category_aligned +10; policy=review_only,fx_name=483; description=1199; keywords=299; filename=328,"{""fx_name"":""Rain Light Birds Breeze"",""description"":""Light rain falls onto canopy in cloud forest. Large drops hit broad leaf plants on forest floor. Breeze rustling in canopy throughout. Rain…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}","{""fx_name"":""Rain Large Tonal Drops"",""description"":""Large tonal raindrops hit broad leaf plants on the forest floor in a cloud forest. Light breeze present throughout. Moderately distant inse…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}","{""fx_name"":""Rain Large Tonal Drops"",""description"":""Large tonal raindrops hit broad leaf plants on the forest floor in a cloud forest. Light breeze present throughout. Moderately distant inse…"",""category"":""AMBIENCE/TROPICAL"",""cat_id"":""AMBTrop""}",CREASrce; WHSH; BIRDPrey,CREATURES/SOURCE; SWOOSHES/WHOOSH; DESIGNED/MISC,00_Alien_Life_CK_Metadata.xlsx#ALCK; 00_Magic_Alchemy_CK_Metadata.xlsx#MALCK; 00_SciFi_Momentum_Metadata_CK.xlsx#CK
slow,Slow,token,modifier,1429,2946,3,50,review,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; policy=review_only; governed_aliases=1,fx_name=642; description=774; keywords=613; filename=917,"{""fx_name"":""Cardboard Box Hand Mixer Low Slow"",""description"":""Vibration, Whisking. Very low, long, tonal rubbing and moaning with fast stuttering. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}","{""fx_name"":""Cardboard Box Hand Mixer Low Slow"",""description"":""Vibration, Whisking. Very low, long, tonal rubbing and moaning with fast stuttering. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}","{""fx_name"":""Cardboard Box Hand Mixer Low Slow"",""description"":""Vibration, Whisking. Very low, long, tonal rubbing and moaning with fast stuttering. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}",WHSH; GUNMech; GUNCano,Vehicles/Cars; SWOOSHES/WHOOSH; GUNS/MECHANISM,01 Everyday Cars - Tracklist.xlsx#Everyday Cars Tracklist; 00_Magic_Wisp_CK_Metadata.xlsx#MAWCK; Trains_Stereo.xlsx#Trains - Stereo
low,Low,token,detail,1427,2337,3,50,review,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; policy=review_only,fx_name=504; description=1063; keywords=358; filename=412,"{""fx_name"":""Harbor Seal Groan Growl"",""description"":""Wild, Marine, Mammal. Low, throaty groaning with snorts at the end. Mono, Sanken Co100K high frequency response."",""category"":""ANIMALS/AQUATIC"",""cat_id"":""ANMLAqua""}","{""fx_name"":""Harbor Seal Groan Growl"",""description"":""Wild, Marine, Mammal. Low, throaty groaning with snorts at the end."",""category"":""ANIMALS/AQUATIC"",""cat_id"":""ANMLAqua""}","{""fx_name"":""Humpback Whale Moan"",""description"":""Wild, Marine, Mammal. Curious, low, tonal moaning and screaming. Underwater hydrophone recording."",""category"":""ANIMALS/AQUATIC"",""cat_id"":""ANMLAqua""}",WHSH; GUNCano; DSGNMisc,SWOOSHES/WHOOSH; DESIGNED/MISC; Vehicles/Trains,00_Alien_Life_CK_Metadata.xlsx#ALCK; Trains_Stereo.xlsx#Trains - Stereo; 00_Magic_Wisp_CK_Metadata.xlsx#MAWCK
close,Close,token,detail,1334,2374,3,50,review,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; policy=review_only; governed_aliases=3,fx_name=287; description=940; keywords=527; filename=620,"{""fx_name"":""Mountain Village Small Square Fountain Spain"",""description"":""OS DE CIVÌS - Mountain square with water fountain. Water splatter throughout. Car door close at times."",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}","{""fx_name"":""Nature Reservoir Birds Dusk England"",""description"":""WAREHAM - Calm nature reservoir at dusk. Busy bird twitter, wind in trees and slight rain throughout. Close drive by at 3:40."",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}","{""fx_name"":""Small Town Square Fountain Close France"",""description"":""FOIX - Small town square with fountain. Water splatter and semi-distant traffic hum throughout. Pigeon cooing occasionally. Close drive by…"",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}",CRWDBatl; GUNMech; GUNRif,CROWDS/BATTLE; GUNS/MECHANISM; Vehicles/Cars,00_Crowds_War_And_Battle_Metadata.xlsx#Crowds - War & Battle; 00_Guns_CK_Remastered_Metadata.xlsx#Guns CK Remastered; 00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK
