mode,raw,canonical,kind,slot,existing_canonical_status,approved_for_ai,field_quality,example_quality,category_alignment,qa_flags,review_risk,recommendation,reason,example_summary
new_candidate,gun,Gun,token,object,existing_unknown,yes,high,high,aligned,ambiguous_token;duplicate_examples;high_risk_token;cannon_artillery_context,high,alias_only,cannon_long_gun_context;not_for_new_candidate,Long Gun 150m [GUNS/CANNON] | Long Gun 175m [GUNS/CANNON] | Long Gun 1m [GUNS/CANNON]
new_candidate,hit,Hit,token,action,existing_unknown,yes,high,high,aligned,ambiguous_token;high_risk_token;ambiguous_with_impact;ambiguous_with_knock;ambiguous_with_punch,high,allow_prompt,ambiguous_with_impact;ambiguous_with_knock;ambiguous_with_punch;forbid_visual_alias_命中,Basic Hit Old School [FIGHT/IMPACT] | Slap Hit [FIGHT/IMPACT] | Button Box Case Hit [METAL/IMPACT]
new_candidate,squeak,Squeak,token,action,existing_unknown,yes,medium,high,mixed,category_mixed;duplicate_examples;category_metadata_mismatch,high,allow_prompt,guns_category_with_metal_squeak_fxname;toy_cartoon_metal_friction_squeak,Dog Toy Chew Teething Ball Squeak Sequence [CARTOON/SQUEAK] | Metal Squeak Constant Fast [GUNS/CANNON] | Metal Squeak Constant Moderate [GUNS/CANNON]
new_candidate,crack,Crack,token,action,existing_unknown,yes,high,high,aligned,ambiguous_token;high_risk_token;broad_material_spread;forbid_visual_alias_裂纹,medium,allow_prompt,broad_material_spread;forbid_visual_alias_裂纹,Tight Crack [EXPLOSIONS/REAL] | Crack Fruit Box [WOOD/BREAK] | Crack Mining Crystals [ROCKS/IMPACT]
new_candidate,single shot,Single Shot,phrase,action,existing_unknown,yes,high,high,aligned,ambiguous_token;duplicate_examples;high_risk_token,medium,allow_prompt,phrase_candidate;keep_phrase_do_not_split,AK47 V1 Single Shot 01 2m [GUNS/RIFLE] | AK47 V1 Single Shot 01 30m [GUNS/RIFLE] | AK47 V1 Single Shot 01 3m [GUNS/RIFLE]
alias_expansion,impact,Impact,token,action,existing_keep,yes,high,high,aligned,,low,alias_only,existing_keep,Book Large Flick Fast Impact [PAPER/IMPACT] | Parcel Moves Impact [PAPER/IMPACT] | Filtered Metal Impact Short [DESIGNED/IMPACT]
alias_expansion,friction,Friction,token,action,existing_keep,yes,high,high,aligned,,low,alias_only,existing_keep,Concert Bass Large Friction Egg Mallet [RUBBER/FRICTION] | Concert Bass Large Friction Scrape Long [RUBBER/FRICTION] | Concert Bass Large Friction Scrape Short [RUBBER/FRICTION]
alias_expansion,gun,Gun,token,object,existing_unknown,yes,high,high,aligned,ambiguous_token;duplicate_examples;high_risk_token;cannon_artillery_context,high,alias_only,cannon_long_gun_context,Long Gun 150m [GUNS/CANNON] | Long Gun 175m [GUNS/CANNON] | Long Gun 1m [GUNS/CANNON]
alias_expansion,hit,Hit,token,action,existing_unknown,yes,high,high,aligned,ambiguous_token;high_risk_token;ambiguous_with_impact;ambiguous_with_knock;ambiguous_with_punch,high,allow_prompt,ambiguous_with_impact;ambiguous_with_knock;ambiguous_with_punch;forbid_visual_alias_命中,Basic Hit Old School [FIGHT/IMPACT] | Slap Hit [FIGHT/IMPACT] | Button Box Case Hit [METAL/IMPACT]
alias_expansion,squeak,Squeak,token,action,existing_unknown,yes,medium,high,mixed,category_mixed;duplicate_examples;category_metadata_mismatch,high,allow_prompt,guns_category_with_metal_squeak_fxname;toy_cartoon_metal_friction_squeak,Dog Toy Chew Teething Ball Squeak Sequence [CARTOON/SQUEAK] | Metal Squeak Constant Fast [GUNS/CANNON] | Metal Squeak Constant Moderate [GUNS/CANNON]
alias_expansion,shot,Shot,token,action,existing_keep,yes,high,high,aligned,ambiguous_token;duplicate_examples;high_risk_token;synthetic_processed_shot,medium,alias_only,existing_keep;synthetic_processed_shot,Sweetener Distortion Shot Low Texture [GUNS/CANNON] | Sweetener Shot Airy [GUNS/CANNON] | Sweetener Shot Clean [GUNS/CANNON]
