Category,SubCategory,CatID,CatShort,Explanations,Synonyms - Comma Separated,Category_fr,SubCategory_fr,Synonyms_fr,Category_pl,SubCategory_pl,Synonyms_pl,Category_de,SubCategory_de,Synonyms_de,Category_pt,SubCategory_pt,Synonyms_pt,Category_pt-br,SubCategory_pt-br,Synonyms_pt-br,Category_zh,SubCategory_zh,Synonyms_zh,Category_tw,SubCategory_tw,Synonyms_tw,Category_es,SubCategory_es,Synonyms_es,Category_ja,SubCategory_ja,Synonyms_ja,Category_no,SubCategory_no,Synonyms_no,Category_da,SubCategory_da,Synonyms_da,Category_sv,SubCategory_sv,Synonyms_sv,Category_fi,SubCategory_fi,Synonyms_fi,Category_ru,SubCategory_ru,Synonyms_ru,Category_ua,SubCategory_ua,Synonyms_ua,Category_it,SubCategory_it,Synonyms_it,Category_nl,SubCategory_nl,Synonyms_nl,Category_tr,SubCategory_tr,Synonyms_tr,Category_kr,SubCategory_kr,Synonyms_kr,Category_ar,SubCategory_ar,Synonyms_ar
AIR,BLOW,AIRBlow,AIR,"Steady air blows, like from a compressed can of air.","Aerate, Aerosol, Air, Airhose, Balloon, Beat, Bellows, Blast, Blow, Blower, Blowgun, Blown, Blowpipe, Blows, Blowtube, Bluff, Carbon, CO2, Compressed, Depressurize, Dioxide, Duster, Exhaust, Flutter, Gust, Helium, Huff, Inflate, Nitrogen, Oxygen, Puff, Puffed, Purge, Release, Sputter, Vent, Waft, Whiff",AIR,SOUFFLE,"air comprimé, dépressuriser, relâcher, souffler, cracher, flotter, purger",POWIETRZE,PODMUCH,"sprężone powietrze, obniżać ciśnienie, wypuszczać, puff, sputter, flutter, purge",LUFT,BLASEN,"Druckluft, Druck ablassen, ablassen, puff, sputter, flutter, purge",AR,SOPRO,"ar comprimido, despressurizar, libertar, sopro, cuspir, esvoaçar, purgar",AR,SOPRO,"ar comprimido, despressurizar, soltar, sopro, cuspir, esvoaçar, purgar",气体,吹,稳定的气流、气压释放、释放、吹气、喷射、颤动,氣體,吹,穩定的氣流、氣壓釋放、釋放、吹氣、噴射、顫動,AIRE,SOPLAR,"aire comprimido, despresurizar, liberar, soplar, chisporrotear, aletear, purgar",空気,吹く,圧縮空気、減圧、放出、パフ、スパッタ、フラッター、パージ,LUFT,BLÅSE,"trykkluft, trykkavlastning, slipp, pust, sputter, flagre, rensing",LUFT,BLÆSE,"trykluft, trykaflastning, frigivelse, puff, sputter, flutter, flutter, rensning",LUFT,BLÅS,"tryckluft, tryckavlastning, släpp ut, puffa, spruta, fladdra, fladdra, rensa",ILMA,PUHALLUS,"paineilma, paineenalennus, vapautus, puhallus, räiskintä, räpyttely, huuhtelu, puhdistus",ВОЗДУХ,ПОТОК,"сжатый воздух, разгерметизация, выпуск, пыхтение, распыление, трепыхание, продувка",ПОВІТРЯ,ПОТІК,"стиснене повітря, розгерметизувати, випускати, пихкати, бризкати, тріпотіти, продувати",ARIA,SOFFIO,"aria compressa, depressurizzare, rilasciare, sbuffare, sputare, svolazzare, spurgare",LUCHT,BLAZEN,"perslucht, drukloos maken, loslaten, puff, sputter, flutter, purge...",HAVA,ÜFLEME,"basınçlı hava, basıncı düşürmek, serbest bırakmak, puflamak, püskürmek, çırpınmak, boşaltmak",공기,바람,"압축 공기, 감압, 해제, 퍼프, 스퍼터, 플러터, 퍼지",هواء,نفخ,هواء مضغوط، خفض الضغط، انطلاق، نفخة، فرقعة، رفرفة، تنقية
AIR,BURST,AIRBrst,AIR,"Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","Air, Airbed, Airblast, Airgun, Airhose, Blast, Blowhole, Blowout, Burst, Carbon, Chuff, CO2, Dioxide, Discharge, Explosion, Flash, Gas, Helium, Jet, Kerboom, Nitrogen, Outburst, Oxygen, Poof, Pop, Rush, Seal, Spurt, Surge, Torrent",AIR,EXPULSION,"souffle d'air, pouf d'air, souffler, gicler, exploser",POWIETRZE,WYBUCH,"podmuch powietrza, puff, chuff, spurt, wybuch",LUFT,STOSS,"Luftstoss, Luftpuff, Chuff, Spurt, Explosion",AR,EXPLOSÃO,"jacto de ar, poof de ar, chuff, jacto, jacto",AR,EXPLOSÃO,"jateamento de ar, poof de ar, chuff, jato, jateamento",气体,爆发,空气爆炸、空气爆破、噗噗、喷射、气爆,氣體,爆發,空氣爆炸、空氣爆破、噗噗、噴射、氣爆,AIRE,RÁFAGA,"ráfaga de aire, puf de aire, chuff, chorro, chorro",空気,バースト、爆発,エアブラスト、エアパフ、シュッ、スパート、ブラスト,LUFT,SPRENGNING,"luftblåsing, luftpuff, chuff, sprut, sprengning",LUFT,SPRÆNGNING,"luftstød, luftpust, luftpuf, chuff, spurt, sprængning",LUFT,EXPLOSIV,"luftstöt, luftpuff, luftpuff, luftspurt, luftstöt, luftstöt",ILMA,PURKAUS,"paineilmapuhallus, paineilmapuhallus, puhallus, puhallus, puhallus, puhallus",ВОЗДУХ,ВЫСВОБОЖДЕНИЕ,"воздушный взрыв, воздушный пуф, пыхтение, рывок, взрыв",ПОВІТРЯ,ВИВІЛЬНЕННЯ,"повітряний вибух, повітряний пуф, пихкати, бризкати, вибухнути",ARIA,SCOPPIO,"esplosione d'aria, puff d'aria, chuff, spruzzo, esplosione",LUCHT,UITBARSTING,"luchtstoot, lucht poef, chuff, spurt, blazen",HAVA,PÜSKÜRME,"hava patlaması, hava pufu, çuf, fışkırma, patlama",공기,파열,에어 블라스트,هواء,انفجار,اندفاع مفاجئ للهواء، صوت هواء يخرج من منطاد، صوت نفث للهواء بسرعة، صوت المحرك البخاري، تدفق تيار هواء قوي، الهواء المضغوط بعد الانفجار
AIR,HISS,AIRHiss,AIR,"Slow air releases, a flat tire, leak in an air pipe.","Carbon, CO2, Dioxide, Discharge, Exhaust, Expel, Helium, Hissing, Leak, Nitrogen, Oxygen, Purr, Release, Shush, Sibilate, Whistling",AIR,SIFFLEMENT,"libération d'air, échappement, expulsion, fuite",POWIETRZE,SYK,"wypuszczanie powietrza, wydech, wydalanie, wyciek",LUFT,ZISCHEN,"Luft ablassen, ausblasen, ausstoßen, lecken",AR,HISS,"libertação de ar, escape, expulsão, fuga",AR,HISS,"liberação de ar, exaustão, expulsão, vazamento",气体,嘶嘶声,放气、排气、 漏气、排出,氣體,嘶嘶聲,放氣、排氣、 漏氣、排出,AIRE,SILBIDO,"escape de aire, escape, expulsión, fuga",空気,シュー、シッ、漏れる,エアリリース、排気、排出、リーク,LUFT,HISS,"luftutslipp, eksos, utstøting, lekkasje",LUFT,HVÆSEN,"luftudledning, udstødning, udstødning, uddrive, lækage",LUFT,PYS,"luftutsläpp, utlopp, utlopp, läckage",ILMA,SIHINÄ,"ilmaa vapauttaa, pakottaa, karkottaa, vuotaa",ВОЗДУХ,ШИПЕНИЕ,"выпуск воздуха, выхлоп, изгнание, утечка",ПОВІТРЯ,ШИПІННЯ,"випускати повітря, випускати, виганяти, витікати",ARIA,SIBILO,"rilascio d'aria, scarico, espulsione, perdita",LUCHT,SISSEN,"lucht afblazen, uitlaten, verdrijven, lek",HAVA,TISLAMA,"hava tahliyesi, egzoz, dışarı atma, sızıntı",공기,쉬익,"공기 배출, 배출, 방출, 누출",هواء,همسة,إطلاق الهواء، الهواء المنبعث من المحرك أثناء تشغيله، طرد شيء ما من الجسم، تسرّب
AIR,MISC,AIRMisc,AIR,Air sounds not fitting another category in this list.,"Airtight, Airway, Carbon, CO2, Dioxide, Gas, Helium, Inflatable, Intake, Miscellaneous, Nitrogen, Oxygen, Sky, Ventilation",AIR,DIVERS,divers,POWIETRZE,RÓŻNE,różne,LUFT,DIV,Verschiedenes,AR,DIVERSOS,diversos,AR,DIVERSOS,diversos,气体,其它,各种各样的、 其他空气声音,氣體,其它,各種各樣的、 其他空氣聲音,AIRE,MISCELÁNEA,varios,空気,その他,雑多な,LUFT,DIVERSE,Diverse,LUFT,DIVERSE,diverse,LUFT,DIVERSE,diverse,ILMA,SEKALAISET,sekalaiset,ВОЗДУХ,РАЗНОЕ,разное,ПОВІТРЯ,РІЗНЕ,різне,ARIA,MISC,varie,LUCHT,DIVERSEN,diverse,HAVA,DİĞER,ÇEŞİTLİ,공기,기타,여러 가지 잡다한,هواء,متفرقات,متفرقات
AIR,SUCTION,AIRSuck,AIR,"Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.","Air, Aspirate, Aspiration, Carbon, CO2, Consume, Dental, Dioxide, Draw, Helium, Hoover, Ingest, Inspiration, Inspire, Intake, Nitrogen, Oxygen, Pull, Pump, Pumps, Siphon, Suck, Suction, Syphon, Syringe, Vac, Vacuity, Vacuum",AIR,ASPIRATION,"vide, aspiration, succion",POWIETRZE,SSANIE,"próżnia, ssać, zasysać",LUFT,SOG,"Vakuum, saugen, saugen",AR,SUCÇÃO,"vácuo, chupar, sucção",AR,SUCÇÃO,"vácuo, sucção, sucção",气体,抽吸,吸气、 吸入、吸尘器,氣體,抽吸,吸氣、 吸入、吸塵器,AIRE,SUCCIÓN,"vacío, chupar, succionar",空気,吸う、吸引,真空、吸引、吸引,LUFT,SUGE,"vakuum, suge, suge",LUFT,SUGE,"vakuum, suge, suge, suge",LUFT,SUG,"vakuum, suga, suga",ILMA,IMU,"tyhjiö, imu, imu",ВОЗДУХ,ВСАСЫВАНИЕ,"вакуум, отсос, всасывание",ПОВІТРЯ,ВСМОКТУВАННЯ,"вакуумувати, всмоктувати, відсмоктувати",ARIA,RISUCCHIO,"vuoto, succhiare, aspirare",LUCHT,ZUIGING,"vacuüm, zuigen, zuigen",HAVA,EMME,"vakum, emmek, emme",공기,흡입,"진공, 빨다, 흡입",هواء,شفط,مكنسة، امتصاص، ارتشاف
AIRCRAFT,DOOR,AERODoor,AERO,"Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.","Airplane, Aviation, Boarding, Cabin, Cargo, Cockpit, Emergency, Entrance, Entryway, Exit, Fuselage, Hatch, Helicopter, Jet, Panel, Passenger, Ports, Trapdoor, Wing",AVIONS,PORTE,"porte de cockpit, porte d'avion, trappe, sortie de secours",LOTNICTWO,DRZWI,"drzwi kokpitu, drzwi samolotu, właz, wyjście awaryjne",LUFTFAHRZEUG,TÜR,"Cockpittür, Flugzeugtür, Luke, Notausgang",AERONAVES,PORTA,"porta do cockpit, porta do avião, escotilha, saída de emergência",AERONAVES,PORTA,"porta do cockpit, porta da aeronave, escotilha, saída de emergência",航空器,门,驾驶舱门、飞机门、舱门、紧急出口,航空器,門,駕駛艙門、飛機門、艙門、緊急出口,AVIÓN,PUERTA,"puerta de cabina, puerta de avión, escotilla, salida de emergencia",航空機、飛行機,ドア,コックピットドア、航空機のドア、ハッチ、非常口,LUFTFARTØY,DØR,"cockpitdør, flydør, luke, nødutgang",FLYVER,DØR,"cockpitdør, flydør, luge, nødudgang",LUFTFARKOSTER,DÖRR,"Cockpitdörr, flygplansdörr, lucka, nödutgång",ILMA-ALUS,OVI,"ohjaamon ovi, lentokoneen ovi, luukku, hätäuloskäynti",АВИАТРАНСПОРТ,ДВЕРИ,"дверь кабины, дверь самолета, люк, аварийный выход",АВІАТРАНСПОРТ,ДВЕРІ,"двері кабіни, двері літака, люк, аварійний вихід",AVIAZIONE,PORTA,"porta della cabina di pilotaggio, porta dell'aereo, portello, uscita di emergenza",LUCHTVAART,DEUR,"cockpitdeur, vliegtuigdeur, luik, nooduitgang",UÇAK,KAPI,"kokpit kapısı, uçak kapısı, ambar, acil çıkış",항공기,문,"조종석 도어, 항공기 도어, 해치, 비상구",طائرة,باب,باب قُمرة القيادة، باب الطائرة، باب في طائرة، باب مخرج الطوارئ
AIRCRAFT,HELICOPTER,AEROHeli,AERO,"For all manner of helicopters, gyrocopters.","Aerochopper, Aircraft, Apache, Autogiro, Autogyro, Bird, Blackhawk, Chopper, Choppers, Copter, Copters, Ghetto, Gyrocopter, Gyroplane, Heli, Helichopper, Helicopter, Helicopteron, Helicoptor, Helijet, Helipad, Helipilot, Heliport, Helo, Helos, Huey, Jetcopter, Lift, Medevac, Medivac, Multirotor, Ornithopter, Police, Rotary-Wing, Rotodyne, Rotorcraft, Sar, Sikorsky, Skyhook, Tailwheel, Tiltrotor, Tricopter, Vertical, VTOL, Whirlybird",AVIONS,HÉLICOPTÈRE,"gyrocoptère, whirlybird, chopper, ghetto bird, bellcopter, police chopper, huey, chopper, blackhawk",LOTNICTWO,HELIKOPTER,"gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, police chopper, huey, chopper, blackhawk",LUFTFAHRZEUG,HUBSCHRAUBER,"Gyrocopter, Whirlybird, Hubschrauber, Ghetto Bird, Bellcopter, Polizeihubschrauber, Huey, Helikopter, Blackhawk",AERONAVES,HELICÓPTERO,"girocopter, turbilhão, helicóptero, pássaro do gueto, bellcopter, helicóptero da polícia, matiz, helicóptero, blackhawk",AERONAVES,HELICÓPTERO,"girocopter, whirlybird, chopper, ghetto bird, bellcopter, chopper policial, huey, chopper, blackhawk",航空器,直升机,旋翼机、 直升机、 ,航空器,直升機,旋翼機、 直升機、,AVIÓN,HELICÓPTERO,"girocóptero, whirlybird, helicóptero, ghetto bird, bellcopter, police chopper, huey, chopper, blackhawk",航空機、飛行機,ヘリコプター,ジャイロコプター、ホーリーバード、チョッパー、ゲットーバード、ベルコプター、ポリスチョッパー、ヒューイ、チョッパー、ブラックホーク,LUFTFARTØY,HELIKOPTER,"gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, politi chopper, huey, chopper, blackhawk",FLYVER,HELIKOPTER,"gyrokopter, whirlybird, chopper, ghettofugl, bellcopter, politihelikopter, huey, chopper, blackhawk",LUFTFARKOSTER,HELIKOPTER,"gyrokopter, whirlybird, chopper, ghettofågel, bellcopter, polishelikopter, huey, chopper, blackhawk",ILMA-ALUS,HELIKOPTERI,"gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, police chopper, huey, chopper, blackhawk",АВИАТРАНСПОРТ,ВЕРТОЛЕТ,"гирокоптер, вихревая птица, вертолет, птица гетто, беллкоптер, полицейский вертолет, хьюи, вертолет, блэкхок",АВІАТРАНСПОРТ,ГВИНТОКРИЛ,"гірокоптер, вертушка, вертоліт, гвинтокрил, посильний, поліцейський вертоліт, гвинтокрил, гвинтокрил, чоппер, блекхоук",AVIAZIONE,ELICOTTERO,"girocottero, whirlybird, chopper, ghetto bird, bellcopter, chopper della polizia, huey, chopper, blackhawk",LUCHTVAART,HELIKOPTER,"gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, politiechopper, huey, chopper, blackhawk",UÇAK,HELİKOPTER,"gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, polis helikopteri, huey, helikopter, blackhawk",항공기,헬리콥터,"자이로콥터, 월리버드, 헬기, 게토 버드, 벨콥터, 경찰 헬기, 휴이, 헬기, 블랙호크",طائرة,هيلوكبتر,الجيروكوبتر، اسم مستعار لطائرات الهليكوبتر، مروحية، هيلوكوبتر تابع للشرطة، هيلوكبتر، مروحية شرطة، هيوي، بلاك هوك 
AIRCRAFT,INTERIOR,AEROInt,AERO,"Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.","737, 747, 777, A310, A330, A350, A380, Aboard, Aeroplane, Airbus, Aircraft, Airliner, Airplane, Aisle, Avionics, Bay, Belly, Bins, Boeing, Bombardier, Bowels, Cabin, Cargo, Cockpit, Compartment, Crew, DC-10, Deck, Fighter, Flight, Fuselage, Galley, Glider, Hold, Inside, Interior, Jet, Jetliner, Jumbo, Lavatory, Learjet, Midflight, Flight, Overhead, Passenger, Zeppelin",AVIONS,INTÉRIEUR,"jet, avion, aéronef, jet de passagers, planeur, zeppelin, avion de ligne, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, avion de chasse",LOTNICTWO,WNĘTRZE,"jet, airplane, aircraft, passenger jet, glider, zeppelin, airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, fighter jet",LUFTFAHRZEUG,INNEN,"Jet, Flugzeug, Flugzeug, Passagierflugzeug, Segelflugzeug, Zeppelin, Verkehrsflugzeug, Jetliner, Jumbo Jet, Learjet, Airbus, Boeing, Bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, Kampfjet",AERONAVES,INTERIOR,"jacto, avião, avião, avião de passageiros, planador, zepelim, avião de passageiros, jacto, jacto jumbo, jacto de aprendizagem, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, avião de combate",AERONAVES,INTERIOR,"jato, avião, avião, avião de passageiros, planador, zepelim, avião de passageiros, jato, jato jumbo, learnjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, avião de caça",航空器,航空舱,飞机、飞机内部录音、复杂环境音、 客机、驾驶舱内部、 滑翔机、 齐柏林飞艇、 喷气客机、 大型喷气式飞机、 里尔喷气机、 空中客车、 波音、 庞巴迪 737、 747、 777、 A310、 DC-10、 A330、 A350、 A380、 战斗机,航空器,航空艙,飛機、飛機內部錄音、複雜環境音、 客機、駕駛艙內部、 滑翔機、 齊柏林飛艇、 噴氣客機、 大型噴氣式飛機、 里爾噴氣機、 空中客車、 波音、 龐巴迪 737、 747、 777、 A310、 DC-10、 A330、 A350、 A380、 戰鬥機,AVIÓN,INTERIOR,"jet, avión, aeronave, avión de pasajeros, planeador, zepelín, avión de pasajeros, avión de línea, avión jumbo, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, avión de combate",航空機、飛行機,内部,ジェット機、飛行機、航空機、旅客機、グライダー、ツェッペリン、旅客機、ジェットライナー、ジャンボジェット、ラージェット、エアバス、ボーイング、ボンバルディア、737、747、777、A310、DC-10、A310、A330、A350、A380、ファイタージェット,LUFTFARTØY,INTERIØR,"jet, fly, fly, passasjerjet, glider, zeppelin, passasjerfly, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, jagerfly",FLYVER,INTERIØR,"jetfly, fly, fly, passagerfly, svævefly, zeppelin, passagerfly, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A310, A330, A350, A380, jagerfly",LUFTFARKOSTER,INTERIÖR,"jet, flygplan, flygplan, passagerarjet, segelflygplan, zeppelin, passagerarplan, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A310, A330, A350, A380, stridsflygplan.",ILMA-ALUS,INTERIÖÖRI,"suihkukone, lentokone, lentokone, matkustajakone, purjelentokone, zeppeliini, matkustajakone, suihkukone, jumbojetti, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A310, A330, A350, A380, hävittäjäkone.",АВИАТРАНСПОРТ,ИНТЕРЬЕР,"реактивный самолет, аэроплан, самолет, пассажирский самолет, планер, цеппелин, авиалайнер, реактивный лайнер, джамбо джет, Learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, истребитель",АВІАТРАНСПОРТ,ІНТЕР'ЄР,"реактивний літак, літак, літак, пасажирський літак, планер, дирижабль, авіалайнер, джетлайнер, джамбо джет, леарджет, аеробус, боїнг, бомбардувальник, 737, 747, 777, А310, DC-10, А310, А330, А350, А380, винищувач",AVIAZIONE,INTERNO,"jet, aereo, aereo, jet passeggeri, aliante, zeppelin, aereo di linea, jet di linea, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, jet da combattimento",LUCHTVAART,INTERIEUR,"jet, vliegtuig, vliegtuig, passagiersjet, zweefvliegtuig, zeppelin, airliner, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, gevechtsvliegtuig",UÇAK,İÇ,"jet, uçak, uçak, yolcu jeti, planör, zeplin, airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, savaş uçağı",항공기,내부,"제트기, 비행기, 항공기, 여객기, 글라이더, 제플린, 여객기, 제트 여객기, 점보 제트기, 리어 제트기, 에어 버스, 보잉, 폭격 수, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, 전투기",طائرة,المناطق الداخلية,طائرة نفاثة، طائرة كبيرة، طائرة صغيرة، طائرة ركاب، طائرة شراعية، منطاد كبير، طائرة رحلات، طائرة ركاب نفاثة، طائرة جامبو، طائرة ليرجيت، طائرة إيرباص، طائرة البوينغ، بومباردييه، طائرة بوينغ 737، طائرة بوينغ 747، طائرة بوينغ 777، طائرة إيرباص إيه 310، طائرة دي سي 10، طائرة إيرباص إيه 310، طائرة إيرباص أيه 330، طائرة إيرباص إيه 350، طائرة إيرباص إيه 380، طائرة مقاتلة نفاثة
AIRCRAFT,JET,AEROJet,AERO,"All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.","737, 747, 777, A310, A330, A350, A380, Aeroplane, Afterburner, Airbus, Aircraft, Airliner, Airplane, Boeing, Bombardier, Cargo, Commercial, DC-10, Jet, Jetliner, Jumbo, Learjet, Passenger, Plane, Private, Ramjet, Regional, Scramjet, Supersonic, Turbojet, Twinjet, Unducted",AVIONS,À RÉACTION,"avion de ligne, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",LOTNICTWO,SAMOLOT ODRZUTOWY,"samolot pasażerski, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",LUFTFAHRZEUG,JET,"Verkehrsflugzeug, Düsenflugzeug, Jumbojet, Learjet, Airbus, Boeing, Bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",AERONAVES,JATO,"avião comercial, jetliner, jacto jumbo, learnjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",AERONAVES,JATO,"avião avião comercial, jetliner, jato jumbo, learnjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",航空器,喷气式飞机,客机、 喷气客机、 大型喷气式飞机、 里尔喷气机、 空中客车公司、 波音、 庞巴迪、 737、 747、 777、 A310、 DC-10、 A330、 A350、 A380,航空器,噴氣式飛機,客機、 噴氣客機、 大型噴氣式飛機、 里爾噴氣機、 空中客車公司、 波音、 龐巴迪、 737、 747、 777、 A310、 DC-10、 A330、 A350、 A380,AVIÓN,CAZA,"avión de pasajeros, avión de línea, avión jumbo, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",航空機、飛行機,ジェット,旅客機、ジェット旅客機、ジャンボジェット、ラージェット、エアバス、ボーイング、ボンバルディア、737、747、777、A310、DC-10、A310、A330、A350、A380,LUFTFARTØY,JET,"passasjerfly, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",FLYVER,JET,"passagerfly, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A310, A330, A350, A380",LUFTFARKOSTER,JET,"flygplan, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A310, A330, A350, A380",ILMA-ALUS,LENTOKONE,"matkustajakone, suihkukone, jumbojetti, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, A310, A330, A350, A380.",АВИАТРАНСПОРТ,САМОЛЕТ РЕАКТИВНЫЙ,"авиалайнер, реактивный лайнер, джамбо джет, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",АВІАТРАНСПОРТ,ЛІТАК РЕАКТИВНИЙ,"авіалайнер, реактивний лайнер, джамбоджет, літак, аеробус, боїнг, бомбардувальник, 737, 747, 777, А310, DC-10, А310, А330, А350, А380",AVIAZIONE,JET,"aereo di linea, jet di linea, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",LUCHTVAART,STRAALJAGER,"airliner, jetliner, jumbojet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",UÇAK,JET,"airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",항공기,제트기,"여객기, 제트 여객기, 점보 제트기, 리어젯, 에어버스, 보잉, 폭격수, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",طائرة,طائرة نفاثة,طائرة رحلات، طائرة ركاب نفاثة، طائرة جامبو، طائرة ليرجيت، طائرة إيرباص، طائرة البوينغ، بومباردييه، طائرة بوينغ 737، طائرة بوينغ 747، طائرة بوينغ 777، طائرة إيرباص إيه 310، طائرة دي سي 10، طائرة إيرباص إيه 310، طائرة إيرباص أيه 330، طائرة إيرباص إيه 350، طائرة إيرباص إيه 380
AIRCRAFT,MECHANISM,AEROMech,AERO,"Mechanical components of aircraft, for example landing gear, or levers and switches.","Actuators, Aerofoil, Aeroplane, Aileron, Ailerons, Airbrake, Aircraft, Airplane, Apron, Arrester, Autopilot, Avionics, Bombsight, Brakes, Cockpit, Column, Control, Cowl, Cowling, Devices, Doors, Elevator, Elevators, Fin, Flap, Flaps, Flight, Gear, Gimbals, Gyroscope, Hook, Hydraulic, Instrument, Landing, Lever, Pedal, Propellers, Reversers, Rudder, Slats, Spoilers, Surfaces, Systems, Throttle, Thrust, Turbines, Yoke",AVIONS,MÉCANISME,"train d'atterrissage, levier du cockpit, gouvernail, volet",LOTNICTWO,MECHANIZM,"podwozie, dźwignia kokpitu, ster, klapa",LUFTFAHRZEUG,MECHANISMUS,"Fahrwerk, Cockpithebel, Seitenruder, Klappe",AERONAVES,MECANISMO,"trem de aterragem, alavanca do cockpit, leme, aba",AERONAVES,MECANISMO,"trem de pouso, alavanca do cockpit, leme, aba",航空器,机械,起落架、驾驶舱操纵杆、方向舵、襟翼、起落架,航空器,機械,起落架、駕駛艙操縱桿、方向舵、襟翼、起落架,AVIÓN,MECANISMO,"tren de aterrizaje, palanca de cabina, timón, flap",航空機、飛行機,機械,ランディングギア、コックピットレバー、ラダー、フラップ,LUFTFARTØY,MEKANISME,"landingsutstyr, cockpitspak, ror, klaff",FLYVER,MEKANISME,"landingsstel, cockpithåndtag, ror, flap",LUFTFARKOSTER,MEKANISM,"landningsställ, cockpitspak, roder, klaffar.",ILMA-ALUS,MEKANISMI,"laskutelineet, ohjaamon vipu, peräsin, laskusiiveke",АВИАТРАНСПОРТ,МЕХАНИЗМ,"шасси, рычаг кабины, руль, закрылки",АВІАТРАНСПОРТ,МЕХАНІЗМ,"шасі, важіль кабіни пілота, кермо, закрилок",AVIAZIONE,MECCANISMO,"carrello d'atterraggio, leva della cabina di pilotaggio, timone, flap",LUCHTVAART,MECHANISME,"landingsgestel, cockpit hendel, roer, flap",UÇAK,MEKANİZMA,"iniş takımı, kokpit kolu, dümen, flap",항공기,기계장치,"랜딩 기어, 조종석 레버, 러더, 플랩",طائرة,الآلية,معدات الهبوط، مقبض الدفع، دفة الاتجاه، جهاز رفع عالي على الحافة الخلفية للجناح
