raw,canonical_guess,kind,slot_guess,record_count,field_hit_count,example_count,score,decision,reason,source_fields,example_1,example_2,example_3,catid_samples,category_samples,source_files
gun,Gun,token,object,2376,3343,3,70,candidate,record_count>=1000 +25; appears_in_fx_name +15; known_object_vocabulary +20; category_aligned +10; policy=known,fx_name=280; description=1873; keywords=665; filename=525,"{""fx_name"":""Rip Tear Tape Gun Cardboard Box Fast"",""description"":""Scratch. Aggressive, slightly tonal, resonant screeching and moaning with varying pitch. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}","{""fx_name"":""Rip Tear Tape Gun Cardboard Box Fast"",""description"":""Scratch. Aggressive, slightly tonal, resonant screeching and moaning with varying pitch. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}","{""fx_name"":""Rip Tear Tape Gun Cardboard Box Fast"",""description"":""Scratch. Aggressive, slightly tonal, resonant screeching and moaning with varying pitch. Mono, Sanken Co100K high frequency response."",""category"":""CREATURES/SOURCE"",""cat_id"":""CREASrce""}",GUNMech; GUNAuto; GUNCano,GUNS/MECHANISM; GUNS/AUTOMATIC; TOYS/MECHANICAL,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK; 00_Guns_CK_Remastered_Metadata.xlsx#Guns CK Remastered; 00_Toy_Guns_Metadata.xlsx#Toy Guns
car,Car,token,object,1470,1604,3,70,candidate,record_count>=1000 +25; appears_in_fx_name +15; known_object_vocabulary +20; category_aligned +10; policy=known; governed_aliases=1,fx_name=29; description=1467; keywords=53; filename=55,"{""fx_name"":""Countryside Cow Barn Night Occasional Traffic Belgium"",""description"":""VRIJSTRAAT - Countryside near cow barn with small fountain at night. Water splatter throughout. Occasional cow mooing, noises inside barn a…"",""category"":""AMBIENCE/FARM"",""cat_id"":""AMBFarm""}","{""fx_name"":""Countryside Farming Machines England"",""description"":""STELLING MINNIS - Countryside with farming machines. Crickets, bird twitter and semi-distant machine rattle throughout. Occasional car driv…"",""category"":""AMBIENCE/FARM"",""cat_id"":""AMBFarm""}","{""fx_name"":""Small Town Empty Market Hall Hum France"",""description"":""FOIX - Empty market hall with ventilation hum. Distant bird chirping throughout. Car drive bys occasionally. No pedestrian activity or voic…"",""category"":""AMBIENCE/MARKET"",""cat_id"":""AMBMrkt""}",AMBRurl; METLImpt; VEHMech,Vehicles/Cars; AMBIENCE/RURAL; VEHICLES/MECHANISM,01 Everyday Cars - Tracklist.xlsx#Everyday Cars Tracklist; 00_Cyber_Weapons_CK_Metadata.xlsx#CWCK; 00_SciFi_Momentum_Metadata_CK.xlsx#CK
vehicle,Vehicle,token,object,1392,1393,3,55,review,record_count>=1000 +25; known_object_vocabulary +20; category_aligned +10; policy=known; governed_aliases=1,fx_name=0; description=1392; keywords=0; filename=1,"{""fx_name"":""Drive By Fast Whip Bassy"",""description"":""Roaring and fast pass by of vehicle. Lots of low end."",""category"":""SWOOSHES/WHOOSH"",""cat_id"":""WHSH""}","{""fx_name"":""Drive By Fast Whip Road Noise Filtered"",""description"":""Filtered and fast pass by of a roaring vehicle."",""category"":""SWOOSHES/WHOOSH"",""cat_id"":""WHSH""}","{""fx_name"":""Drive By Fast Whip Stutter"",""description"":""Quick and short stuttering pass by of vehicle."",""category"":""SWOOSHES/WHOOSH"",""cat_id"":""WHSH""}",WHSH; DSGNWhsh,Vehicles/Cars; DOORS/METAL; SWOOSHES/WHOOSH,01 Everyday Cars - Tracklist.xlsx#Everyday Cars Tracklist; 00_Doors_Metadata.xlsx#Doors; 00_Cinematic_Motion_Metadata_CK.xlsx#CMCK
cannon,Cannon,token,object,1257,1377,3,70,review,record_count>=1000 +25; appears_in_fx_name +15; known_object_vocabulary +20; category_aligned +10; policy=review_only; governed_aliases=1,fx_name=62; description=1250; keywords=23; filename=42,"{""fx_name"":""Cannon Shot"",""description"":""Extended explosion noise reminiscent of a cannon blast."",""category"":""EXPLOSIONS/DESIGNED"",""cat_id"":""EXPLDsgn""}","{""fx_name"":""Cannon Shot"",""description"":""Extended explosion noise reminiscent of a cannon blast."",""category"":""EXPLOSIONS/DESIGNED"",""cat_id"":""EXPLDsgn""}","{""fx_name"":""Cannon Shot"",""description"":""Brief explosion noise reminiscent of a cannon blast."",""category"":""EXPLOSIONS/DESIGNED"",""cat_id"":""EXPLDsgn""}",GUNCano; DSGNMisc; FIRESizz,#REF!/#REF!; GUNS/CANNON; DESIGNED/MISC,00_Cannons_CK_Metadata.xlsx#CANNONS Shots; 00_Cannons_DS_Metadata.xlsx#CANNONS Shots; 00_Cannons_CK_Metadata.xlsx#CANNONS Shots Old
artillery,Artillery,token,object,842,1019,3,40,review,record_count>=500 +20; known_object_vocabulary +20; policy=review_only,fx_name=0; description=841; keywords=177; filename=1,"{""fx_name"":""16 Pounder 150m"",""description"":""Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""16 Pounder 150m"",""description"":""Antique artillery, historic cannon, cal 27mm. ORTF3D Lo positioned 150m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""16 Pounder 15m"",""description"":""Antique artillery, historic cannon, cal 27mm. XY positioned 15m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}",GUNCano,GUNS/CANNON; #REF!/#REF!; SCIFI/WEAPON,00_Cannons_CK_Metadata.xlsx#CACK; 00_Cannons_CK_Metadata.xlsx#CANNONS Shots; 00_Cannons_DS_Metadata.xlsx#CANNONS Shots
door,Door,token,object,483,680,3,60,review,record_count>=100 +15; appears_in_fx_name +15; known_object_vocabulary +20; category_aligned +10; policy=known; governed_aliases=1,fx_name=52; description=404; keywords=87; filename=137,"{""fx_name"":""Mountain Village Small Square Fountain Spain"",""description"":""OS DE CIVÌS - Mountain square with water fountain. Water splatter throughout. Car door close at times."",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}","{""fx_name"":""Make A Rule"",""description"":""SYNTHETIC HIT HIGH Distorted bangs, resembling hard hits on a wooden door."",""category"":""DESIGNED/DISTORTION"",""cat_id"":""DSGNDist""}","{""fx_name"":""Solid Blast"",""description"":""SYNTHETIC HIT HIGH Vibrating rattle, like quick shaking of an unstable door."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}",GUNCano; METLImpt; WOODImpt,DOORS/WOOD; DOORS/METAL; DOORS/APPLIANCE,00_Doors_Metadata.xlsx#Doors; 01 Everyday Cars - Tracklist.xlsx#Everyday Cars Tracklist; Trains_Stereo.xlsx#Trains - Stereo
engine,Engine,token,object,338,676,3,60,review,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_object_vocabulary +20; policy=known; governed_aliases=2,fx_name=15; description=259; keywords=116; filename=286,"{""fx_name"":""Old Town Backyard Calm Belgium"",""description"":""BRUGES - Calm old town backyard. Minimal semi-distant pedestrian activity and voices throughout. Occasional drive by. Dog bark and kids run…"",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}","{""fx_name"":""Small Town Main Street Traffic Truck Noise France"",""description"":""VENDÔME - Busy small town main street. Truck engine and moderate traffic throughout. Truck signal beep and pneumatics occasionally. Pedestr…"",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}","{""fx_name"":""Small Town Beach Distant Traffic Morning France"",""description"":""SAINT TROPEZ - Beach in the morning. Water waves splatter, crickets and distant traffic throughout. Occasional ship engine hum."",""category"":""AMBIENCE/SEASIDE"",""cat_id"":""AMBSea""}",DSGNSrce; WHSH; METLMvmt,Vehicles/Cars; DESIGNED/SOURCE; Vehicles/Trains,01 Everyday Cars - Tracklist.xlsx#Everyday Cars Tracklist; 00_SciFi_Momentum_Metadata_CK.xlsx#CK; Trains_Stereo.xlsx#Trains - Stereo
weapon,Weapon,token,object,243,245,3,45,review,record_count>=100 +15; known_object_vocabulary +20; category_aligned +10; policy=known; governed_aliases=1,fx_name=0; description=67; keywords=177; filename=1,"{""fx_name"":""16 Pounder 15m"",""description"":""Antique artillery, historic cannon, cal 27mm. MS shotgun microphone positioned 15m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""16 Pounder 15m"",""description"":""Antique artillery, historic cannon, cal 27mm. MS shotgun microphone positioned 15m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""16 Pounder 15m"",""description"":""Antique artillery, historic cannon, cal 27mm. MS shotgun microphone positioned 15m away from the cannon."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}",GUNCano; EXPLDsgn; SCIImpt,GUNS/CANNON; DESIGNED/MISC; DESIGNED/SYNTHETIC,00_Cannons_CK_Metadata.xlsx#METADATA STRATA; 00_Cannons_DS_Metadata.xlsx#METADATA STRATA; 00_Mutate_Organic_CK.xlsx#MOCK
machine,Machine,token,object,227,238,3,60,review,record_count>=100 +15; appears_in_fx_name +15; known_object_vocabulary +20; category_aligned +10; policy=review_only; governed_aliases=1,fx_name=3; description=223; keywords=6; filename=6,"{""fx_name"":""Countryside Farming Machines England"",""description"":""STELLING MINNIS - Countryside with farming machines. Crickets, bird twitter and semi-distant machine rattle throughout. Occasional car driv…"",""category"":""AMBIENCE/FARM"",""cat_id"":""AMBFarm""}","{""fx_name"":""Countryside Crickets Distant Village France V1"",""description"":""EXCIDEUIL - Countryside with distant village. Crickets, bird chirping and distant kids screaming throughout. Dog barking at times. Distant…"",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}","{""fx_name"":""Countryside Crickets Distant Village France V2"",""description"":""EXCIDEUIL - Countryside with distant village. Crickets, bird chirping and distant kids screaming throughout. Distant machine humming and co…"",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}",GUNAuto; AMBRurl; AMBDsgn,GUNS/AUTOMATIC; SCIFI/MISC; SCIFI/WEAPON,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK; 00_WWII_Firearms_DS_Metadata.xlsx#WWII Firearms DS; 00_Cyber_Weapons_CK_Metadata.xlsx#CWCK
chain,Chain,token,object,190,329,3,60,review,record_count>=100 +15; field_diversity>=1.5 +10; appears_in_fx_name +15; known_object_vocabulary +20; policy=known; governed_aliases=1,fx_name=176; description=49; keywords=52; filename=52,"{""fx_name"":""Metal Chain Delay Formant Shift"",""description"":""Gleaming effect characterised by a metal chain, delay, and formant shift."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Metal Chain Delay Formant Shift"",""description"":""Gleaming effect characterised by a metal chain, delay, and formant shift."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Metal Chain Delay Formant Shift"",""description"":""Gleaming effect characterised by a metal chain, delay, and formant shift."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}",GUNCano; CHAINMvmt; CHAINImpt,#REF!/#REF!; GUNS/CANNON; WEAPONS/BLUNT,00_Cannons_CK_Metadata.xlsx#CANNONS Foley; 00_Cannons_DS_Metadata.xlsx#CANNONS Foley; 00_Cannons_CK_Metadata.xlsx#CACK
